,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
383,351–400,"University of Occupational and Environmental Health, JapanJapanExplore",1142,2.6,1%,54 : 46
384,351–400,Örebro UniversitySweden,9735,18.5,6%,61 : 39
385,351–400,Oregon State UniversityUnited States,24798,16.0,11%,46 : 54
386,351–400,University of PerugiaItaly,24830,32.3,6%,57 : 43
387,351–400,University of PisaItaly,33726,22.4,6%,51 : 49
388,351–400,RMIT UniversityAustralia,33848,22.4,30%,47 : 53
389,351–400,University of SalernoItaly,24290,25.8,2%,56 : 44
390,351–400,University of StirlingUnited KingdomExplore,9250,15.8,23%,63 : 37
391,351–400,SUNY University at AlbanyUnited States,15947,16.6,10%,52 : 48
392,351–400,Swinburne University of TechnologyAustralia,14379,27.9,27%,36 : 64
393,351–400,Taipei Medical UniversityTaiwanExplore,5973,10.2,10%,57 : 43
394,351–400,TU Dortmund UniversityGermany,34267,108.8,10%,45 : 55
395,351–400,University of TurkuFinland,12785,16.3,6%,63 : 37
396,351–400,TU WienAustria,10464,19.9,29%,29 : 71
397,351–400,Université de Versailles Saint-Quentin-en-YvelinesFrance,16621,21.2,15%,59 : 41
398,351–400,Washington State UniversityUnited States,27957,18.1,7%,52 : 48
399,351–400,Wayne State UniversityUnited States,22295,11.3,9%,55 : 45
400,351–400,Wuhan UniversityChinaExplore,52502,14.6,7%,
401,401–500,Aberystwyth UniversityUnited Kingdom,6866,16.2,19%,49 : 51
402,401–500,The University of AlabamaUnited States,35120,22.5,4%,56 : 44
403,401–500,American UniversityUnited States,11750,11.0,12%,65 : 35
404,401–500,Aswan UniversityEgypt,22393,40.8,0%,59 : 41
405,401–500,Bangor UniversityUnited Kingdom,9590,16.3,23%,58 : 42
406,401–500,University of Bari Aldo MoroItaly,29564,20.5,1%,61 : 39
407,401–500,Bond UniversityAustralia,3341,10.3,43%,54 : 46
408,401–500,University of BordeauxFranceExplore,54965,21.6,13%,58 : 42
409,401–500,Bournemouth UniversityUnited Kingdom,13692,17.1,18%,55 : 45
410,401–500,Universiti Brunei DarussalamBrunei DarussalamExplore,3830,10.9,15%,67 : 33
411,401–500,Cankaya UniversityTurkey,9164,28.4,2%,45 : 55
412,401–500,Centrale NantesFrance,1706,16.1,45%,26 : 74
413,401–500,Central South UniversityChinaExplore,51546,18.4,2%,
414,401–500,Charles University in PragueCzech Republic,48623,12.7,18%,62 : 38
415,401–500,"City, University of LondonUnited Kingdom",14362,18.5,51%,56 : 44
416,401–500,"Colorado State University, Fort CollinsUnited States",26014,16.3,6%,53 : 47
417,401–500,University of Côte d’AzurFrance,36706,23.0,23%,55 : 45
418,401–500,Covenant UniversityNigeriaExplore,8768,15.7,0%,43 : 57
419,401–500,University of CyprusCyprusExplore,6635,22.0,11%,66 : 34
420,401–500,University of DesarrolloChileExplore,15384,19.0,4%,56 : 44
421,401–500,Diego Portales UniversityChile,17287,14.9,2%,49 : 51
422,401–500,Drexel UniversityUnited States,19801,11.1,17%,50 : 50
423,401–500,University of Eastern FinlandFinland,11630,18.5,6%,64 : 36
424,401–500,École des Mines de Saint-ÉtienneFrance,973,8.1,25%,28 : 72
425,401–500,Edith Cowan UniversityAustraliaExplore,17560,31.3,26%,60 : 40
426,401–500,Federal University of Toulouse Midi-PyrénéesFrance,103857,19.2,14%,54 : 46
427,401–500,University of FerraraItaly,14644,25.2,7%,56 : 44
428,401–500,Free University of Bozen-BolzanoItaly,3891,12.0,13%,67 : 33
429,401–500,Fujita Health UniversityJapanExplore,2942,3.2,0%,55 : 45
430,401–500,University of GenoaItaly,23977,19.5,9%,55 : 45
431,401–500,University of GeorgiaUnited States,35164,16.3,7%,57 : 43
432,401–500,Georgia State UniversityUnited States,29290,14.4,6%,61 : 39
433,401–500,Gwangju Institute of Science and Technology (GIST)South Korea,2098,12.1,6%,25 : 75
434,401–500,Harbin Institute of TechnologyChina,29603,9.9,12%,32 : 68
435,401–500,Hokkaido UniversityJapan,18225,8.1,11%,31 : 69
436,401–500,Hong Kong Baptist UniversityHong KongExplore,8759,11.6,45%,65 : 35
437,401–500,University of HoustonUnited States,44128,25.7,9%,50 : 50
438,401–500,Hunan UniversityChina,40715,20.4,2%,46 : 54
439,401–500,Indian Institute of Technology BombayIndia,10267,16.1,1%,19 : 81
440,401–500,Indian Institute of Technology DelhiIndia,7284,14.8,1%,20 : 80
441,401–500,Indian Institute of Technology KharagpurIndia,9167,12.3,0%,18 : 82
442,401–500,University of InnsbruckAustria,14128,12.6,40%,53 : 47
443,401–500,ITMO UniversityRussian Federation,10206,13.1,16%,37 : 63
444,401–500,University of KansasUnited States,24526,9.9,9%,52 : 48
445,401–500,University of KentuckyUnited States,27078,12.4,4%,55 : 45
446,401–500,University of KwaZulu-NatalSouth AfricaExplore,36660,29.2,4%,58 : 42
447,401–500,Kyushu UniversityJapan,18643,8.8,13%,28 : 72
448,401–500,Leibniz University HannoverGermany,27625,54.0,14%,40 : 60
449,401–500,Linköping UniversitySweden,18544,11.2,12%,53 : 47
450,401–500,Liverpool John Moores UniversityUnited Kingdom,19461,17.4,14%,53 : 47
451,401–500,Mansoura UniversityEgypt,140126,24.9,3%,55 : 45
452,401–500,Middlesex UniversityUnited Kingdom,15649,18.0,45%,60 : 40
453,401–500,University of Milan-BicoccaItaly,26509,28.9,6%,62 : 38
454,401–500,University of Missouri-St LouisUnited States,7019,16.0,6%,58 : 42
455,401–500,Mizzou - University of MissouriUnited States,28513,13.3,6%,53 : 47
456,401–500,University of Modena and Reggio EmiliaItaly,17432,24.8,6%,54 : 46
457,401–500,Murdoch UniversityAustraliaExplore,14905,27.7,37%,60 : 40
458,401–500,National Research Nuclear University MEPhIRussian Federation,6489,10.8,24%,31 : 69
459,401–500,University of Nebraska-LincolnUnited States,24610,17.2,11%,48 : 52
460,401–500,New Mexico Institute of Mining and TechnologyUnited States,1809,11.3,8%,30 : 70
461,401–500,Norwegian University of Science and TechnologyNorway,35181,15.8,8%,48 : 52
462,401–500,Oklahoma State UniversityUnited States,21494,15.8,7%,50 : 50
463,401–500,University of PaviaItaly,24623,41.5,8%,56 : 44
464,401–500,University of PeradeniyaSri Lanka,17482,10.8,1%,61 : 39
465,401–500,University of the PhilippinesPhilippines,39877,8.4,1%,58 : 42
466,401–500,Polytechnic University of BariItaly,6122,24.4,1%,33 : 67
467,401–500,Pontifical Javeriana UniversityColombia,30048,15.4,1%,55 : 45
468,401–500,University of PortoPortugal,32020,18.7,15%,55 : 45
469,401–500,University of PortsmouthUnited Kingdom,20186,15.4,26%,45 : 55
470,401–500,Qatar UniversityQatar,15585,17.3,38%,76 : 24
471,401–500,Quaid-i-Azam UniversityPakistan,14694,24.8,1%,57 : 43
472,401–500,Rensselaer Polytechnic InstituteUnited States,7798,15.6,20%,32 : 68
473,401–500,Royal Veterinary CollegeUnited Kingdom,2067,10.9,19%,78 : 22
474,401–500,Sabancı UniversityTurkeyExplore,3605,21.5,9%,37 : 63
475,401–500,University of St GallenSwitzerland,7579,11.8,34%,35 : 65
476,401–500,University of SaskatchewanCanada,17194,17.7,20%,56 : 44
477,401–500,Sciences PoFrance,11915,45.1,34%,60 : 40
478,401–500,Sejong UniversitySouth Korea,12119,17.0,10%,47 : 53
479,401–500,Semmelweis UniversityHungaryExplore,10996,9.8,31%,68 : 32
480,401–500,University of SienaItaly,12636,14.8,8%,59 : 41
481,401–500,SOAS University of LondonUnited KingdomExplore,5194,12.1,53%,65 : 35
482,401–500,University of South Carolina-ColumbiaUnited States,32291,16.2,5%,55 : 45
483,401–500,University of StrasbourgFrance,46898,18.8,20%,58 : 42
484,401–500,University of StrathclydeUnited Kingdom,18517,19.0,27%,50 : 50
485,401–500,Technion Israel Institute of TechnologyIsrael,14703,21.8,5%,36 : 64
486,401–500,Teikyo UniversityJapan,22873,16.7,2%,34 : 66
487,401–500,The University of Texas at San AntonioUnited States,24435,24.5,4%,51 : 49
488,401–500,Tokyo Medical and Dental University (TMDU)Japan,2999,3.3,9%,49 : 51
489,401–500,Tongji UniversityChinaExplore,35690,13.1,13%,45 : 55
490,401–500,University of TriesteItaly,15933,23.5,8%,55 : 45
491,401–500,University of TsukubaJapan,16844,13.6,21%,39 : 61
492,401–500,The University of TulsaUnited States,5067,12.4,16%,45 : 55
493,401–500,University of TurinItaly,55957,29.6,8%,61 : 39
494,401–500,UiT The Arctic University of NorwayNorway,16475,13.0,10%,59 : 41
495,401–500,University of Urbino Carlo BoItaly,14278,39.6,6%,61 : 39
496,401–500,University of ValenciaSpain,50311,14.9,12%,62 : 38
497,401–500,Verona UniversityItaly,19873,27.5,5%,64 : 36
498,401–500,University of VictoriaCanada,21169,25.7,20%,55 : 45
499,401–500,Yasouj UniversityIran,6332,27.5,0%,46 : 54
500,401–500,York UniversityCanadaExplore,46683,35.4,24%,57 : 43
501,501–600,University of Alabama in HuntsvilleUnited States,6729,16.3,8%,43 : 57
502,501–600,Amirkabir University of TechnologyIran,11580,21.6,2%,35 : 65
503,501–600,University of L’AquilaItaly,18867,55.3,4%,57 : 43
504,501–600,Aston UniversityUnited Kingdom,11113,21.1,26%,48 : 52
505,501–600,Universidad Autónoma de ChileChile,23312,26.2,1%,65 : 35
506,501–600,Bar-Ilan UniversityIsrael,16723,17.5,5%,60 : 40
507,501–600,Beihang UniversityChina,29952,13.7,6%,
508,501–600,Bilkent UniversityTurkey,10374,14.5,9%,46 : 54
509,501–600,Université Bourgogne Franche-Comté (UBFC)France,59858,32.9,11%,53 : 47
510,501–600,University of BresciaItaly,14206,27.2,7%,46 : 54
511,501–600,University of CampinasBrazil,28795,15.1,3%,47 : 53
512,501–600,Carleton UniversityCanada,27570,29.7,21%,48 : 52
513,501–600,University of CataniaItaly,25392,20.4,2%,57 : 43
514,501–600,Catholic University of the Sacred HeartItaly,28725,21.6,7%,65 : 35
515,501–600,CentraleSupélecFrance,4226,10.2,29%,22 : 78
516,501–600,Charles Darwin UniversityAustralia,6314,22.8,32%,66 : 34
517,501–600,Institute of Chemical TechnologyIndia,2146,18.2,0%,34 : 66
518,501–600,"China Medical University, TaiwanTaiwan",7603,16.5,8%,54 : 46
519,501–600,Chung-Ang UniversitySouth Korea,16681,22.1,18%,
520,501–600,Claude Bernard University Lyon 1France,26875,12.7,13%,53 : 47
521,501–600,Complutense University of MadridSpain,62624,19.7,13%,61 : 39
522,501–600,East China Normal UniversityChinaExplore,25747,11.5,17%,65 : 35
523,501–600,Florida International UniversityUnited StatesExplore,34203,23.8,8%,57 : 43
524,501–600,University of GrazAustria,20312,21.9,13%,65 : 35
525,501–600,Graz University of TechnologyAustria,6370,10.0,20%,23 : 77
526,501–600,University of GreifswaldGermany,10247,21.1,7%,56 : 44
527,501–600,University of GuelphCanada,22165,29.1,9%,59 : 41
528,501–600,Hacettepe UniversityTurkey,47035,22.0,4%,56 : 44
529,501–600,University of HaifaIsrael,16164,21.0,2%,66 : 34
530,501–600,Hamburg University of TechnologyGermany,5216,35.2,19%,27 : 73
531,501–600,University of HullUnited Kingdom,14047,18.2,19%,53 : 47
532,501–600,University of IbadanNigeria,26648,16.4,1%,48 : 52
533,501–600,University of IdahoUnited States,9694,17.0,8%,48 : 52
534,501–600,Indian Institute of Technology GandhinagarIndia,1222,11.2,0%,22 : 78
535,501–600,Indian Institute of Technology RoorkeeIndia,7561,16.4,2%,16 : 84
536,501–600,University of InsubriaItaly,7646,22.1,6%,55 : 45
537,501–600,University of JyväskyläFinland,10200,15.0,5%,61 : 39
538,501–600,Kansai Medical UniversityJapan,841,1.1,3%,38 : 62
539,501–600,University of KashanIran,8438,27.4,3%,53 : 47
540,501–600,Keele UniversityUnited Kingdom,9004,15.0,19%,56 : 44
541,501–600,King Fahd University of Petroleum and MineralsSaudi Arabia,6882,6.8,13%,0 : 100
542,501–600,King Saud UniversitySaudi Arabia,38971,10.4,10%,59 : 41
543,501–600,King Saud bin Abdulaziz University for Health SciencesSaudi Arabia,11708,6.9,1%,52 : 48
544,501–600,Koç UniversityTurkey,5381,15.6,6%,51 : 49
545,501–600,Lappeenranta-Lahti University of Technology LUTFinlandExplore,3851,28.2,19%,31 : 69
546,501–600,University of LimerickIrelandExplore,14221,21.7,17%,48 : 52
547,501–600,Lincoln UniversityNew Zealand,2476,13.5,39%,49 : 51
548,501–600,University of LisbonPortugal,47886,17.7,12%,52 : 48
549,501–600,Louisiana State UniversityUnited States,29169,20.7,6%,52 : 48
550,501–600,Marche Polytechnic UniversityItaly,10603,20.7,4%,48 : 52
551,501–600,Mashhad University of Medical SciencesIran,9134,10.6,3%,60 : 40
552,501–600,Massey UniversityNew Zealand,18653,16.2,31%,62 : 38
553,501–600,Memorial University of NewfoundlandCanadaExplore,15127,13.7,18%,57 : 43
554,501–600,Missouri University of Science and TechnologyUnited States,8084,22.2,14%,23 : 77
555,501–600,National and Kapodistrian University of AthensGreece,57697,28.4,10%,62 : 38
556,501–600,National Chiao Tung UniversityTaiwan,12017,16.7,12%,30 : 70
557,501–600,National Taiwan University of Science and Technology (Taiwan Tech)TaiwanExplore,8340,19.5,15%,30 : 70
558,501–600,National Yang-Ming UniversityTaiwan,4258,5.1,2%,48 : 52
559,501–600,University of Nebraska Medical CenterUnited States,3041,2.3,7%,68 : 32
560,501–600,University of NeuchâtelSwitzerland,4284,12.8,22%,60 : 40
561,501–600,New Jersey Institute of TechnologyUnited States,9279,15.1,17%,25 : 75
562,501–600,Northern Arizona UniversityUnited States,29684,28.1,5%,60 : 40
563,501–600,North-West UniversitySouth Africa,36749,29.9,4%,62 : 38
564,501–600,Norwegian University of Life SciencesNorway,5790,6.9,21%,59 : 41
565,501–600,Novosibirsk State UniversityRussian Federation,7123,6.2,20%,
566,501–600,The Open UniversityUnited Kingdom,61915,32.3,8%,62 : 38
567,501–600,Open University of CataloniaSpain,22962,84.5,2%,56 : 44
568,501–600,Universidad Peruana Cayetano HerediaPeru,6236,10.6,0%,66 : 34
569,501–600,Peter the Great St Petersburg Polytechnic UniversityRussian Federation,18251,9.0,28%,39 : 61
570,501–600,University of PlymouthUnited Kingdom,17667,17.2,15%,55 : 45
571,501–600,Polytechnic University of TurinItaly,31425,35.8,13%,28 : 72
572,501–600,Pontificia Universidad Católica de ChileChile,28541,15.0,7%,
573,501–600,Renmin University of ChinaChina,25590,12.5,6%,
574,501–600,University of Rhode IslandUnited States,16569,19.3,3%,57 : 43
575,501–600,University of Rome II – Tor VergataItaly,34965,19.9,11%,52 : 48
576,501–600,University of Rome IIIItaly,31696,50.1,5%,59 : 41
577,501–600,Rovira i Virgili UniversitySpain,12411,12.3,11%,59 : 41
578,501–600,San Diego State UniversityUnited States,30799,30.5,8%,55 : 45
579,501–600,Sharif University of TechnologyIran,9260,19.8,2%,26 : 74
580,501–600,Shenzhen UniversityChinaExplore,35171,15.5,1%,48 : 52
581,501–600,University of SiegenGermany,19268,42.3,12%,50 : 50
582,501–600,"Soochow University, ChinaChinaExplore",44835,16.4,7%,54 : 46
583,501–600,South China University of TechnologyChina,41139,13.9,5%,38 : 62
584,501–600,Southeast UniversityChina,32951,11.6,5%,40 : 60
585,501–600,Suez Canal UniversityEgypt,35363,10.8,1%,58 : 42
586,501–600,SUNY Binghamton UniversityUnited States,17848,23.3,14%,49 : 51
587,501–600,Tehran University of Medical SciencesIran,12511,6.9,7%,58 : 42
588,501–600,Tianjin UniversityChinaExplore,34780,14.0,6%,
589,501–600,Tomsk State UniversityRussian Federation,7655,11.9,29%,
590,501–600,Universiti Tunku Abdul Rahman (UTAR)Malaysia,18763,16.1,2%,52 : 48
591,501–600,University of UdineItaly,11793,17.8,7%,53 : 47
592,501–600,Victoria University of WellingtonNew ZealandExplore,17442,18.9,21%,56 : 44
593,501–600,University of WaikatoNew Zealand,9892,18.1,19%,58 : 42
594,501–600,The University of the West IndiesJamaicaExplore,23305,22.2,1%,71 : 29
595,501–600,University of the West of ScotlandUnited Kingdom,11730,22.4,21%,59 : 41
596,501–600,University of Wisconsin-MilwaukeeUnited States,20874,19.3,6%,53 : 47
597,501–600,University of WuppertalGermany,23343,55.8,11%,52 : 48
598,501–600,Xiamen UniversityChina,40841,14.6,4%,47 : 53
599,501–600,Xi’an Jiaotong UniversityChina,36557,12.5,6%,32 : 68
600,501–600,Yokohama City UniversityJapan,4910,4.5,2%,56 : 44
601,601–800,Åbo Akademi UniversityFinland,5295,17.5,16%,
602,601–800,The University of AizuJapan,1165,10.8,5%,11 : 89
603,601–800,University of AlcaláSpain,17793,12.9,18%,56 : 44
604,601–800,Amedeo Avogadro University of Eastern PiedmontItaly,13447,36.1,6%,62 : 38
605,601–800,Amrita Vishwa VidyapeethamIndia,14689,11.9,12%,
606,601–800,"University of the Andes, ColombiaColombia",15521,13.2,2%,44 : 56
607,601–800,Aristotle University of ThessalonikiGreece,46505,26.8,5%,58 : 42
608,601–800,University of ArkansasUnited States,24754,19.8,5%,52 : 48
609,601–800,Auburn UniversityUnited States,26641,18.8,9%,51 : 49
610,601–800,University of AveiroPortugalExplore,9774,16.5,12%,51 : 49
611,601–800,University of the Balearic IslandsSpain,11277,12.8,7%,59 : 41
612,601–800,Banaras Hindu UniversityIndia,14953,11.3,3%,10 : 90
613,601–800,University of the Basque CountrySpain,42485,14.8,4%,53 : 47
614,601–800,Baylor UniversityUnited States,17078,16.2,6%,57 : 43
615,601–800,Beijing Institute of TechnologyChina,30608,13.3,8%,35 : 65
616,601–800,University of Beira InteriorPortugal,7022,15.7,14%,52 : 48
617,601–800,Beni-Suef UniversityEgypt,67981,25.3,1%,46 : 54
618,601–800,University of BergamoItaly,19022,57.0,7%,61 : 39
619,601–800,Boğaziçi UniversityTurkey,13202,23.2,3%,46 : 54
620,601–800,University of BrightonUnited Kingdom,17155,18.0,21%,59 : 41
621,601–800,Ca’ Foscari University of VeniceItaly,15636,27.7,10%,65 : 35
622,601–800,Cairo UniversityEgypt,223275,40.6,2%,48 : 52
623,601–800,University of CalabriaItaly,27403,33.0,2%,57 : 43
624,601–800,University of Central FloridaUnited States,56228,35.3,4%,56 : 44
625,601–800,Central Queensland UniversityAustraliaExplore,14701,20.8,31%,55 : 45
626,601–800,Chemnitz University of TechnologyGermany,10473,45.7,24%,43 : 57
627,601–800,China Agricultural UniversityChina,19586,11.6,1%,58 : 42
628,601–800,"China University of Petroleum, BeijingChina",15150,18.7,4%,
629,601–800,Clemson UniversityUnited States,21436,17.0,7%,47 : 53
630,601–800,University of Clermont AuvergneFrance,34644,18.8,13%,56 : 44
631,601–800,University of CoimbraPortugal,21404,17.6,19%,57 : 43
632,601–800,COMSATS University IslamabadPakistan,33030,11.4,1%,28 : 72
633,601–800,Concordia UniversityCanada,33543,32.3,29%,50 : 50
634,601–800,University of Costa RicaCosta Rica,33900,15.1,2%,53 : 47
635,601–800,Coventry UniversityUnited KingdomExplore,27531,16.4,46%,47 : 53
636,601–800,Creighton UniversityUnited States,8228,11.1,8%,58 : 42
637,601–800,Dalian University of TechnologyChina,39665,15.7,3%,35 : 65
638,601–800,University of DelhiIndia,24547,23.0,1%,47 : 53
639,601–800,De Montfort UniversityUnited Kingdom,19093,19.5,27%,56 : 44
640,601–800,Dublin City UniversityIreland,12619,24.0,10%,57 : 43
641,601–800,East China University of Science and TechnologyChina,25519,15.6,2%,43 : 57
642,601–800,École Centrale de LyonFrance,1998,16.1,24%,25 : 75
643,601–800,École normale supérieure Paris-SaclayFrance,1869,12.6,14%,30 : 70
644,601–800,University of Electronic Science and Technology of ChinaChinaExplore,33242,16.4,4%,31 : 69
645,601–800,Eötvös Loránd UniversityHungaryExplore,26105,16.7,9%,65 : 35
646,601–800,Ewha Womans UniversitySouth Korea,14510,16.9,15%,100 : 0
647,601–800,Federal University of Minas GeraisBrazil,43899,12.6,2%,53 : 47
648,601–800,Universidade Federal do Rio Grande do SulBrazil,52579,19.4,1%,52 : 48
649,601–800,Universidade Federal de Santa CatarinaBrazil,38719,16.6,2%,49 : 51
650,601–800,Universidade Federal de São Paulo (UNIFESP)Brazil,14572,9.3,1%,59 : 41
651,601–800,Ferhat Abbas Sétif University 1Algeria,34002,22.7,1%,65 : 35
652,601–800,University of GironaSpain,13906,19.0,14%,58 : 42
653,601–800,Glasgow Caledonian UniversityUnited Kingdom,12637,19.9,17%,59 : 41
654,601–800,University of GranadaSpain,56044,15.4,10%,59 : 41
655,601–800,University of GreenwichUnited Kingdom,14477,18.0,36%,58 : 42
656,601–800,University of HertfordshireUnited Kingdom,17584,17.5,28%,56 : 44
657,601–800,Hiroshima UniversityJapan,15077,9.0,10%,36 : 64
658,601–800,Huazhong Agricultural UniversityChina,25956,17.4,2%,54 : 46
659,601–800,University of HuddersfieldUnited Kingdom,14483,20.7,24%,55 : 45
660,601–800,Reichman UniversityIsrael,6908,47.0,24%,52 : 48
661,601–800,Imam Khomeini International UniversityIran,8330,28.6,7%,55 : 45
662,601–800,"Indian Institute of Science Education and Research, PuneIndia",1274,9.5,0%,32 : 68
663,601–800,Indian Institute of Technology BhubaneswarIndia,1237,10.7,0%,15 : 85
664,601–800,Indian Institute of Technology GuwahatiIndia,5699,13.5,1%,17 : 83
665,601–800,Indian Institute of Technology HyderabadIndia,2088,11.9,0%,20 : 80
666,601–800,Indian Institute of Technology KanpurIndia,6860,13.6,0%,14 : 86
667,601–800,Indian Institute of Technology MadrasIndia,9241,15.6,1%,20 : 80
668,601–800,University of IndonesiaIndonesiaExplore,41170,9.9,11%,65 : 35
669,601–800,University of International Business and EconomicsChinaExplore,15775,17.4,18%,66 : 34
670,601–800,University of IoanninaGreece,21902,44.3,3%,47 : 53
671,601–800,Iran University of Medical SciencesIran,8673,9.0,3%,59 : 41
672,601–800,Iran University of Science and TechnologyIran,13273,31.7,1%,31 : 69
673,601–800,ISCTE-University Institute of LisbonPortugal,8898,24.2,12%,50 : 50
674,601–800,Isfahan University of TechnologyIran,10064,20.7,1%,44 : 56
675,601–800,Istanbul Technical UniversityTurkey,34825,23.0,4%,34 : 66
676,601–800,Jagiellonian UniversityPoland,40608,10.9,9%,68 : 32
677,601–800,Jamia Millia IslamiaIndia,10653,9.7,3%,40 : 60
678,601–800,Jaume I UniversitySpain,12182,15.6,9%,58 : 42
679,601–800,Jawaharlal Nehru UniversityIndia,7938,13.9,4%,52 : 48
680,601–800,Jiangsu Normal UniversityChina,21455,14.3,2%,
681,601–800,The Jikei University School of MedicineJapan,1078,0.9,1%,47 : 53
682,601–800,University of JohannesburgSouth AfricaExplore,26445,23.9,15%,55 : 45
683,601–800,Johannes Kepler University of LinzAustria,6122,10.5,11%,51 : 49
684,601–800,Kafrelsheikh UniversityEgypt,74546,39.7,1%,51 : 49
685,601–800,University of KaiserslauternGermany,14869,51.6,18%,39 : 61
686,601–800,Kansas State UniversityUnited States,21536,14.3,9%,50 : 50
687,601–800,Kazan Federal UniversityRussian Federation,26670,10.8,13%,66 : 34
688,601–800,Universiti Kebangsaan MalaysiaMalaysia,17180,10.1,15%,61 : 39
689,601–800,Keio UniversityJapan,34916,10.4,8%,36 : 64
690,601–800,Kent State UniversityUnited States,24559,20.4,9%,60 : 40
691,601–800,Kindai UniversityJapan,33125,13.6,2%,30 : 70
692,601–800,King Khalid UniversitySaudi Arabia,38865,8.1,11%,53 : 47
693,601–800,Kobe UniversityJapan,15593,9.5,7%,35 : 65
694,601–800,Konkuk UniversitySouth Korea,12225,23.2,16%,70 : 30
695,601–800,Kurume UniversityJapan,4850,7.3,2%,39 : 61
696,601–800,Lakehead UniversityCanadaExplore,8050,24.5,13%,56 : 44
697,601–800,University of La LagunaSpain,18336,12.9,4%,58 : 42
698,601–800,Lehigh UniversityUnited States,6462,10.8,17%,44 : 56
699,601–800,University of LeobenAustria,3074,5.9,15%,26 : 74
700,601–800,University of LilleFrance,69287,29.0,13%,58 : 42
701,601–800,University of LincolnUnited Kingdom,12060,15.1,13%,56 : 44
702,601–800,University of LjubljanaSlovenia,40110,14.7,6%,60 : 40
703,601–800,University of LleidaSpain,8595,14.7,8%,59 : 41
704,601–800,University of LorraineFrance,58678,19.2,16%,52 : 48
705,601–800,"Lumière University, Lyon 2France",25134,51.1,19%,72 : 28
706,601–800,Mae Fah Luang UniversityThailand,13534,22.3,4%,73 : 27
707,601–800,Mahidol UniversityThailandExplore,28476,10.2,4%,49 : 51
708,601–800,Makerere UniversityUganda,34651,23.6,8%,45 : 55
709,601–800,Universiti Malaysia PerlisMalaysia,12154,17.1,5%,49 : 51
710,601–800,University of MaltaMalta,11772,13.0,9%,58 : 42
711,601–800,Manchester Metropolitan UniversityUnited Kingdom,28146,15.1,16%,58 : 42
712,601–800,"University of Maryland, Baltimore CountyUnited States",11667,18.1,8%,45 : 55
713,601–800,Masaryk UniversityCzech Republic,31611,20.2,21%,62 : 38
714,601–800,Metropolitan Autonomous UniversityMexico,57827,20.0,0%,48 : 52
715,601–800,Middle East Technical UniversityTurkey,27455,31.6,6%,44 : 56
716,601–800,Miguel Hernández University of ElcheSpain,13591,20.0,5%,49 : 51
717,601–800,University of MinhoPortugal,18066,17.9,10%,54 : 46
718,601–800,Montana State UniversityUnited States,14357,19.4,3%,46 : 54
719,601–800,Monterrey Institute of TechnologyMexicoExplore,14343,16.2,11%,41 : 59
720,601–800,Nanjing University of Information Science and TechnologyChina,21857,15.5,3%,
721,601–800,Nanjing Medical UniversityChina,15420,9.0,5%,
722,601–800,Nanjing Normal UniversityChina,27490,13.2,3%,70 : 30
723,601–800,Nantes UniversitéFrance,37078,24.7,11%,56 : 44
724,601–800,National Autonomous University of MexicoMexico,161718,17.1,8%,51 : 49
725,601–800,National Cheng Kung University (NCKU)TaiwanExplore,20663,13.7,13%,37 : 63
726,601–800,National Institute of Applied Sciences of Lyon (INSA Lyon)France,6173,19.6,28%,32 : 68
727,601–800,National University of Science and Technology (MISiS)Russian Federation,7090,11.3,26%,41 : 59
728,601–800,National Taiwan Normal UniversityTaiwanExplore,10789,12.1,24%,
729,601–800,National Technical University of AthensGreece,14133,20.6,8%,33 : 67
730,601–800,"University of Nevada, Las VegasUnited States",24982,22.7,5%,57 : 43
731,601–800,New Mexico State University (Main campus)United States,12753,16.5,8%,54 : 46
732,601–800,Nippon Medical SchoolJapan,850,0.9,0%,34 : 66
733,601–800,University of North Carolina at GreensboroUnited States,18999,22.2,4%,66 : 34
734,601–800,Northwestern Polytechnical UniversityChinaExplore,28432,13.9,4%,26 : 74
735,601–800,Nottingham Trent UniversityUnited Kingdom,24140,15.0,19%,57 : 43
736,601–800,NOVA University of LisbonPortugal,19694,18.1,17%,50 : 50
737,601–800,Ohio University (Main campus)United States,25013,22.3,5%,56 : 44
738,601–800,Old Dominion UniversityUnited States,18878,18.2,3%,55 : 45
739,601–800,University of OviedoSpain,21663,12.7,3%,54 : 46
740,601–800,Oxford Brookes UniversityUnited Kingdom,13915,16.2,28%,59 : 41
741,601–800,Palacký University OlomoucCzech Republic,17443,13.8,12%,69 : 31
742,601–800,University of PalermoItaly,29437,20.5,1%,58 : 42
743,601–800,Panjab UniversityIndia,19912,23.4,1%,49 : 51
744,601–800,Panthéon-Sorbonne University – Paris 1France,33883,26.1,21%,59 : 41
745,601–800,University of ParmaItaly,25140,27.4,6%,56 : 44
746,601–800,Universitat Politècnica de CatalunyaSpain,25484,10.6,16%,28 : 72
747,601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,15581,21.9,5%,51 : 49
748,601–800,Portland State UniversityUnited States,20219,18.4,9%,55 : 45
749,601–800,University of PretoriaSouth AfricaExplore,35086,22.0,8%,57 : 43
750,601–800,Pusan National UniversitySouth KoreaExplore,24331,18.3,11%,47 : 53
751,601–800,Universiti Putra MalaysiaMalaysia,20018,12.1,23%,73 : 27
752,601–800,Université du QuébecCanada,52994,19.7,11%,58 : 42
