,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1243,1001+,Kumamoto UniversityJapan,10045,7.8,7%,38 : 62
1244,1001+,Kunming University of Science and TechnologyChina,43099,18.3,4%,34 : 66
1245,1001+,Kuwait UniversityKuwaitExplore,36853,23.3,14%,75 : 25
1246,1001+,Kwansei Gakuin UniversityJapan,25417,24.3,3%,48 : 52
1247,1001+,Kyoto Sangyo UniversityJapan,13151,22.6,2%,32 : 68
1248,1001+,Kyoto Institute of TechnologyJapan,3985,13.0,5%,27 : 73
1249,1001+,Kyushu Institute of Technology (Kyutech)Japan,5649,16.2,5%,13 : 87
1250,1001+,Latvia University of Life Sciences and TechnologiesLatvia,3880,39.9,2%,50 : 50
1251,1001+,Lebanese UniversityLebanon,49737,15.5,16%,70 : 30
1252,1001+,University of LeónSpain,12803,15.8,16%,52 : 48
1253,1001+,University of LethbridgeCanada,6990,12.7,11%,
1254,1001+,L.N. Gumilyov Eurasian National UniversityKazakhstan,18985,6.7,4%,
1255,1001+,Lobachevsky State University of Nizhni NovgorodRussian Federation,17310,7.2,10%,53 : 47
1256,1001+,University of ŁódźPoland,25026,12.3,10%,62 : 38
1257,1001+,Lodz University of TechnologyPoland,15442,12.8,4%,40 : 60
1258,1001+,London South Bank UniversityUnited Kingdom,11560,15.7,33%,57 : 43
1259,1001+,Londrina State UniversityBrazil,26470,15.3,1%,58 : 42
1260,1001+,Lorestan UniversityIran,8333,27.7,0%,57 : 43
1261,1001+,University of LucknowIndia,20942,46.2,0%,46 : 54
1262,1001+,Maharaja Sayajirao University of BarodaIndia,41564,28.5,0%,55 : 45
1263,1001+,Mahasarakham UniversityThailand,42628,33.3,0%,67 : 33
1264,1001+,University of MalagaSpain,35376,12.7,9%,55 : 45
1265,1001+,Universiti Malaysia PerlisMalaysia,11212,12.7,6%,42 : 58
1266,1001+,Universiti Malaysia Sarawak (UNIMAS)MalaysiaExplore,16217,18.6,6%,63 : 37
1267,1001+,Manipal Academy of Higher EducationIndia,22843,9.1,12%,45 : 55
1268,1001+,University of ManoubaTunisia,16894,13.1,1%,62 : 38
1269,1001+,University of MariborSlovenia,11488,13.0,6%,54 : 46
1270,1001+,Marmara UniversityTurkey,63090,31.1,5%,50 : 50
1271,1001+,University of Marrakech Cadi AyyadMorocco,100717,43.3,1%,48 : 52
1272,1001+,University of MazandaranIran,12452,32.1,2%,64 : 36
1273,1001+,Meiji UniversityJapan,33449,11.7,5%,35 : 65
1274,1001+,Meijo UniversityJapan,15437,31.8,1%,30 : 70
1275,1001+,Mendel University in BrnoCzech Republic,8459,17.7,19%,58 : 42
1276,1001+,Menoufia UniversityEgypt,94466,36.6,1%,45 : 55
1277,1001+,M’Hamed Bougara University of BoumerdèsAlgeria,31889,21.6,1%,58 : 42
1278,1001+,Universidad Michoacana de San Nicolás de HidalgoMexico,39861,28.7,1%,53 : 47
1279,1001+,Mie UniversityJapan,7247,8.6,4%,38 : 62
1280,1001+,Ming Chuan UniversityTaiwan,18423,22.4,9%,60 : 40
1281,1001+,Minia UniversityEgypt,72328,18.5,1%,59 : 41
1282,1001+,MIREA - Russian Technological UniversityRussian Federation,21612,19.3,3%,32 : 68
1283,1001+,University of MiskolcHungary,9322,18.0,4%,
1284,1001+,University of MiyazakiJapan,5524,7.7,3%,35 : 65
1285,1001+,Mohammed V University of RabatMorocco,83521,33.4,5%,57 : 43
1286,1001+,University of MonastirTunisia,18876,9.4,1%,68 : 32
1287,1001+,University of MontenegroMontenegro,18275,26.4,2%,57 : 43
1288,1001+,Morgan State UniversityUnited States,7120,13.8,13%,54 : 46
1289,1001+,Moscow Aviation InstituteRussian Federation,15317,12.5,10%,28 : 72
1290,1001+,Moscow Power Engineering InstituteRussian Federation,12082,18.1,10%,39 : 61
1291,1001+,Multimedia UniversityMalaysia,9519,11.6,8%,45 : 55
1292,1001+,University of MumbaiIndia,12167,22.2,0%,43 : 57
1293,1001+,University of MurciaSpain,27120,15.7,8%,62 : 38
1294,1001+,Muroran Institute of TechnologyJapanExplore,3334,18.4,4%,12 : 88
1295,1001+,University of MysoreIndia,7950,21.5,10%,40 : 60
1296,1001+,Universidad Nacional del LitoralArgentina,45401,30.2,0%,60 : 40
1297,1001+,Nagaoka University of TechnologyJapan,2301,11.2,12%,11 : 89
1298,1001+,Nagasaki UniversityJapan,9090,7.1,4%,37 : 63
1299,1001+,Nagoya City UniversityJapan,4412,7.4,2%,53 : 47
1300,1001+,Nagoya Institute of TechnologyJapan,5711,16.3,4%,16 : 84
1301,1001+,Nanjing University of Aeronautics and AstronauticsChina,29583,16.3,3%,28 : 72
1302,1001+,Nara Medical UniversityJapan,1252,3.4,1%,46 : 54
1303,1001+,Naresuan UniversityThailand,22184,15.1,1%,63 : 37
1304,1001+,National Changhua University of EducationTaiwan,8333,22.6,4%,49 : 51
1305,1001+,National Chiayi UniversityTaiwan,12143,24.2,3%,48 : 52
1306,1001+,National Chi Nan UniversityTaiwan,6143,15.6,12%,52 : 48
1307,1001+,National Chin-Yi University of TechnologyTaiwan,7316,24.1,5%,30 : 70
1308,1001+,National Chung Cheng UniversityTaiwanExplore,10195,15.1,5%,45 : 55
1309,1001+,National Chung Hsing UniversityTaiwan,15184,16.6,7%,38 : 62
1310,1001+,National University of ColombiaColombia,52166,22.0,1%,38 : 62
1311,1001+,National University of CórdobaArgentina,80219,12.9,2%,62 : 38
1312,1001+,National University of CuyoArgentina,38253,7.9,3%,74 : 26
1313,1001+,National Ilan UniversityTaiwan,5470,23.3,3%,34 : 66
1314,1001+,"National Institute of Technology, TiruchirappalliIndia",5848,17.3,8%,24 : 76
1315,1001+,National University of KaohsiungTaiwan,5565,23.3,4%,41 : 59
1316,1001+,National Research University of Electronic Technology (MIET)Russian Federation,4306,8.7,5%,28 : 72
1317,1001+,National Research Saratov State UniversityRussian Federation,9782,9.2,8%,60 : 40
1318,1001+,National University of San MartínArgentina,15841,15.8,5%,65 : 35
1319,1001+,National Taipei UniversityTaiwan,8636,16.5,4%,54 : 46
1320,1001+,National Taiwan Ocean UniversityTaiwan,8655,21.5,9%,32 : 68
1321,1001+,National Technical University Kharkiv Polytechnic InstituteUkraine,12141,8.0,9%,31 : 69
1322,1001+,National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic InstituteUkraine,21072,10.4,3%,39 : 61
1323,1001+,National Yunlin University of Science and TechnologyTaiwan,9200,25.2,5%,42 : 58
1324,1001+,Nicolaus Copernicus University in ToruńPoland,21990,11.3,3%,69 : 31
1325,1001+,University of Nigeria NsukkaNigeria,42785,14.6,1%,49 : 51
1326,1001+,Slovak University of Agriculture in NitraSlovakia,5707,12.8,3%,54 : 46
1327,1001+,University of North Carolina WilmingtonUnited States,14865,18.8,2%,62 : 38
1328,1001+,North China Electric Power UniversityChina,36362,18.3,3%,35 : 65
1329,1001+,"University of the North, ColombiaColombia",14861,20.4,4%,50 : 50
1330,1001+,North-Eastern Federal UniversityRussian Federation,12806,11.2,5%,54 : 46
1331,1001+,Northwest UniversityChina,23351,13.4,5%,56 : 44
1332,1001+,University of Novi SadSerbia,48101,14.9,3%,55 : 45
1333,1001+,Novosibirsk State Technical UniversityRussian Federation,11589,11.4,21%,52 : 48
1334,1001+,Oakland UniversityUnited States,15441,18.1,4%,57 : 43
1335,1001+,Obafemi Awolowo UniversityNigeria,29423,23.5,0%,49 : 51
1336,1001+,Ochanomizu UniversityJapan,2802,14.8,5%,100 : 0
1337,1001+,Oita UniversityJapan,5645,9.0,1%,37 : 63
1338,1001+,Omsk State Technical UniversityRussian Federation,13102,11.4,17%,37 : 63
1339,1001+,Ondokuz Mayis UniversityTurkey,37333,28.1,10%,50 : 50
1340,1001+,Osaka City UniversityJapan,8019,8.7,3%,36 : 64
1341,1001+,Osaka Institute of TechnologyJapan,7120,26.1,1%,12 : 88
1342,1001+,Osaka Medical CollegeJapan,1224,2.7,1%,51 : 49
1343,1001+,Osaka Prefecture UniversityJapan,7710,12.2,4%,36 : 64
1344,1001+,University of OstravaCzech Republic,8796,17.7,9%,70 : 30
1345,1001+,Universitas PadjadjaranIndonesia,42928,15.3,1%,59 : 41
1346,1001+,University of PardubiceCzech Republic,6961,13.1,8%,55 : 45
1347,1001+,Paris Nanterre UniversityFrance,32742,35.6,17%,62 : 38
1348,1001+,University of PatrasGreece,25636,27.3,5%,44 : 56
1349,1001+,Pavol Jozef Šafárik University in KošiceSlovakia,6802,10.1,22%,65 : 35
1350,1001+,Perm National Research Polytechnic UniversityRussian Federation,8257,9.8,9%,38 : 62
1351,1001+,Perm State UniversityRussian Federation,9273,10.9,2%,62 : 38
1352,1001+,Pirogov Russian National Research Medical UniversityRussian Federation,8225,6.3,6%,72 : 28
1353,1001+,PMAS Arid Agriculture University RawalpindiPakistan,12023,48.3,0%,38 : 62
1354,1001+,Polytechnic Institute of PortoPortugal,18259,16.8,6%,48 : 52
1355,1001+,Polytechnic University of BucharestRomania,29699,23.1,3%,36 : 64
1356,1001+,Polytechnic University of TimişoaraRomania,12762,20.6,2%,36 : 64
1357,1001+,Pondicherry UniversityIndia,6940,20.1,1%,41 : 59
1358,1001+,Pontifical Catholic University of Minas GeraisBrazil,65117,39.5,0%,53 : 47
1359,1001+,Pontifical Catholic University of PeruPeru,25807,7.4,2%,47 : 53
1360,1001+,Pontifical Catholic University of ValparaísoChile,16511,24.1,1%,42 : 58
1361,1001+,Universidad Pontificia Bolivariana (UPB)Colombia,15400,14.0,2%,54 : 46
1362,1001+,Pontifícia Universidade Católica do ParanáBrazil,16353,18.1,1%,53 : 47
1363,1001+,Port Said UniversityEgypt,22163,27.7,0%,47 : 53
1364,1001+,Prince of Songkla UniversityThailand,37788,15.6,2%,70 : 30
1365,1001+,PSG College of TechnologyIndia,8563,13.8,0%,38 : 62
1366,1001+,Public University of NavarreSpain,7481,11.7,8%,51 : 49
1367,1001+,University of the PunjabPakistan,27907,24.8,0%,52 : 48
1368,1001+,Qassim UniversitySaudi ArabiaExplore,64042,15.5,3%,66 : 34
1369,1001+,Razi UniversityIran,12266,29.3,1%,58 : 42
1370,1001+,Recep Tayyip Erdoğan UniversityTurkey,12365,23.3,3%,51 : 49
1371,1001+,University Rey Juan CarlosSpain,43273,23.5,9%,58 : 42
1372,1001+,Riga Technical UniversityLatvia,11134,31.0,12%,34 : 66
1373,1001+,Ritsumeikan UniversityJapan,35401,18.3,8%,
1374,1001+,Robert Gordon UniversityUnited Kingdom,9684,20.1,23%,62 : 38
1375,1001+,Russian Presidential Academy of National Economy and Public AdministrationRussian Federation,15067,9.3,5%,57 : 43
1376,1001+,Ryukoku UniversityJapan,16124,33.4,2%,37 : 63
1377,1001+,University of the RyukyusJapan,7658,10.0,2%,38 : 62
1378,1001+,University of La SabanaColombia,11904,18.8,3%,58 : 42
1379,1001+,Saga UniversityJapan,6761,9.7,2%,40 : 60
1380,1001+,Saitama UniversityJapan,8484,14.1,5%,33 : 67
1381,1001+,Saitama Medical UniversityJapan,1904,1.5,0%,52 : 48
1382,1001+,Sakarya UniversityTurkeyExplore,51273,31.7,5%,45 : 55
1383,1001+,Samara National Research University (Samara University)Russian Federation,9806,10.5,13%,50 : 50
1384,1001+,Samara State Technical UniversityRussian Federation,14126,15.8,3%,38 : 62
1385,1001+,San Sebastián UniversityChile,17617,9.2,0%,61 : 39
1386,1001+,"University of Santiago, Chile (USACH)Chile",23469,25.4,3%,43 : 57
1387,1001+,Sapporo Medical UniversityJapan,1305,3.3,0%,43 : 57
1388,1001+,University of SargodhaPakistan,20999,23.3,0%,53 : 47
1389,1001+,SASTRA UniversityIndia,9160,12.0,0%,46 : 54
1390,1001+,Satbayev UniversityKazakhstan,8610,16.0,2%,35 : 65
1391,1001+,Sathyabama Institute of Science and TechnologyIndiaExplore,12715,14.7,2%,46 : 54
1392,1001+,Saveetha Institute of Medical and Technical SciencesIndia,9409,6.5,1%,38 : 62
1393,1001+,University of Sciences and Technology Houari BoumedieneAlgeria,42174,23.1,0%,58 : 42
1394,1001+,University of Science and Technology of Oran Mohamed-BoudiafAlgeria,21290,11.1,2%,52 : 48
1395,1001+,Sechenov UniversityRussian Federation,15840,7.7,18%,70 : 30
1396,1001+,Selçuk UniversityTurkey,46791,21.9,4%,62 : 38
1397,1001+,Semnan UniversityIran,14773,14.6,1%,50 : 50
1398,1001+,University of SeoulSouth Korea,9461,17.2,6%,
1399,1001+,Seoul National University of Science and Technology (SeoulTech)South Korea,11299,17.9,6%,35 : 65
1400,1001+,University of SfaxTunisia,30923,12.8,1%,68 : 32
1401,1001+,Shahed UniversityIran,6371,19.1,0%,51 : 49
1402,1001+,Shahid Bahonar University of KermanIran,14705,23.5,0%,60 : 40
1403,1001+,​Shahid Chamran University of AhvazIran,13149,22.3,1%,60 : 40
1404,1001+,Shahid Rajaee Teacher Training UniversityIran,9738,45.9,0%,30 : 70
1405,1001+,Shahrekord UniversityIran,7166,22.4,0%,59 : 41
1406,1001+,Shahrood University of TechnologyIran,8056,22.7,1%,42 : 58
1407,1001+,Shibaura Institute of TechnologyJapan,8864,26.3,5%,18 : 82
1408,1001+,Shiga University of Medical ScienceJapan,1146,3.1,2%,49 : 51
1409,1001+,Shimane UniversityJapan,6106,7.5,2%,37 : 63
1410,1001+,Shinshu UniversityJapan,10768,10.3,3%,32 : 68
1411,1001+,Shiraz University of Medical SciencesIran,10465,10.8,2%,55 : 45
1412,1001+,Shizuoka UniversityJapan,9949,13.9,3%,29 : 71
1413,1001+,University of ShizuokaJapan,3099,11.6,3%,61 : 39
1414,1001+,Showa UniversityJapan,3724,2.0,0%,59 : 41
1415,1001+,Siberian Federal UniversityRussian Federation,10972,19.1,8%,36 : 64
1416,1001+,Siksha ‘O’ AnusandhanIndiaExplore,12143,9.7,0%,50 : 50
1417,1001+,University of Silesia in KatowicePoland,24535,13.3,3%,66 : 34
1418,1001+,Silesian University of TechnologyPoland,17892,11.9,2%,34 : 66
1419,1001+,Silpakorn UniversityThailand,24138,21.3,1%,69 : 31
1420,1001+,Simón Bolívar UniversityVenezuela,8373,23.6,0%,46 : 54
1421,1001+,University of Sistan and BaluchestanIran,24331,52.8,0%,50 : 50
1422,1001+,Slovak University of Technology in BratislavaSlovakia,11194,11.3,4%,32 : 68
1423,1001+,Sofia UniversityBulgaria,21735,7.1,6%,67 : 33
1424,1001+,University of SonoraMexico,30218,18.3,1%,54 : 46
1425,1001+,Soongsil UniversitySouth Korea,15979,19.9,9%,44 : 56
1426,1001+,Sophia UniversityJapanExplore,13511,24.8,11%,57 : 43
1427,1001+,University of SousseTunisia,25594,11.2,1%,67 : 33
1428,1001+,University of South AfricaSouth Africa,222065,179.7,6%,69 : 31
1429,1001+,University of South ChinaChina,26083,11.0,1%,45 : 55
1430,1001+,Southern Federal UniversityRussian Federation,19251,11.5,9%,55 : 45
1431,1001+,South Ural State UniversityRussian Federation,22313,15.5,9%,43 : 57
1432,1001+,South Valley UniversityEgypt,47430,58.1,0%,61 : 39
1433,1001+,University of South WalesUnited Kingdom,15478,15.4,19%,53 : 47
1434,1001+,Southwest Jiaotong UniversityChinaExplore,41878,17.1,2%,23 : 77
1435,1001+,Srinakharinwirot UniversityThailand,22649,17.2,0%,72 : 28
1436,1001+,SRM Institute of Science and TechnologyIndia,51528,15.6,2%,23 : 77
1437,1001+,Staffordshire UniversityUnited KingdomExplore,8733,15.4,11%,49 : 51
1438,1001+,State University of Ponta GrossaBrazil,8549,8.8,0%,54 : 46
1439,1001+,State University of Santa CruzBrazil,6718,8.6,1%,61 : 39
1440,1001+,St Marianna University School of MedicineJapanNot accredited,848,0.9,1%,35 : 65
1441,1001+,St Petersburg Electrotechnical University (LETI)Russian Federation,8227,12.9,19%,30 : 70
1442,1001+,Süleyman Demirel UniversityTurkey,37150,41.1,3%,50 : 50
1443,1001+,Suranaree University of TechnologyThailand,14329,30.9,1%,55 : 45
1444,1001+,SWPS University of Social Sciences and HumanitiesPoland,13561,35.3,9%,74 : 26
1445,1001+,Szent István UniversityHungary,13198,17.9,11%,48 : 52
1446,1001+,University of TalcaChile,11310,15.7,1%,51 : 49
1447,1001+,Tamil Nadu Agricultural UniversityIndia,6393,8.5,0%,65 : 35
1448,1001+,Tamkang UniversityTaiwan,25343,24.5,8%,48 : 52
1449,1001+,Tanta UniversityEgypt,115169,21.8,1%,42 : 58
1450,1001+,University of TarapacáChile,8703,27.4,2%,54 : 46
1451,1001+,Taras Shevchenko National University of KyivUkraine,23687,8.9,4%,58 : 42
1452,1001+,Technical University of Cluj-NapocaRomania,19136,19.4,2%,36 : 64
1453,1001+,Technical University of KošiceSlovakia,9110,12.0,13%,28 : 72
1454,1001+,Technical University of LiberecCzech Republic,5129,11.2,12%,53 : 47
1455,1001+,"University of Technology, IraqIraq",10417,6.7,0%,34 : 66
1456,1001+,Universidade Tecnológica Federal do Paraná (UTFPR)Brazil,31943,12.7,1%,35 : 65
1457,1001+,Universiti Teknikal Malaysia MelakaMalaysia,12678,16.1,6%,39 : 61
1458,1001+,Universiti Teknologi MARAMalaysia,56945,17.8,0%,67 : 33
1459,1001+,Institut Teknologi Sepuluh NopemberIndonesia,14941,10.4,5%,28 : 72
1460,1001+,Telkom UniversityIndonesia,23042,21.9,0%,41 : 59
1461,1001+,Texas State UniversityUnited States,31872,19.4,1%,59 : 41
1462,1001+,Tezpur UniversityIndia,4278,13.6,2%,39 : 61
1463,1001+,Thammasat UniversityThailandExplore,28359,10.9,1%,64 : 36
1464,1001+,TOBB University of Economics and TechnologyTurkey,5839,14.7,0%,48 : 52
1465,1001+,Toho UniversityJapan,5306,13.8,0%,52 : 48
1466,1001+,Tokai UniversityJapan,29644,13.1,3%,27 : 73
1467,1001+,Tokat Gaziosmanpaşa UniversityTurkey,18471,16.2,3%,52 : 48
1468,1001+,Tokushima UniversityJapan,7553,9.2,3%,35 : 65
1469,1001+,Tokyo University of AgricultureJapan,12468,33.4,2%,42 : 58
1470,1001+,Tokyo University of Agriculture and TechnologyJapan,5767,15.2,6%,31 : 69
1471,1001+,Tokyo City UniversityJapan,7389,14.6,1%,23 : 77
1472,1001+,Tokyo Denki UniversityJapan,9262,25.0,2%,13 : 87
1473,1001+,Tokyo University of Marine Science and TechnologyJapan,2641,10.7,8%,34 : 66
1474,1001+,Tokyo University of ScienceJapanExplore,18578,24.8,2%,24 : 76
1475,1001+,Tomas Bata University in ZlínCzech Republic,8389,18.8,11%,58 : 42
1476,1001+,Tomsk State University of Control Systems and RadioelectronicsRussian Federation,6409,15.2,17%,36 : 64
1477,1001+,Tottori UniversityJapan,6040,7.6,2%,37 : 63
1478,1001+,University of ToyamaJapan,9120,12.0,4%,40 : 60
1479,1001+,Toyo UniversityJapan,31588,26.5,6%,42 : 58
1480,1001+,Toyohashi University of Technology (TUT)Japan,2059,8.8,9%,10 : 90
1481,1001+,Transilvania University of BrașovRomania,19123,21.5,1%,52 : 48
1482,1001+,University of Trás-os-Montes and Alto DouroPortugal,6515,11.4,4%,56 : 44
1483,1001+,Tshwane University of TechnologySouth Africa,40869,35.2,3%,56 : 44
1484,1001+,Tunghai UniversityTaiwan,16080,22.6,7%,54 : 46
1485,1001+,University of Tunis El ManarTunisia,30817,8.9,2%,67 : 33
1486,1001+,Tzu Chi UniversityTaiwanExplore,3524,9.9,12%,61 : 39
1487,1001+,Ufa State Aviation Technical UniversityRussian Federation,14021,13.9,1%,36 : 64
1488,1001+,Umm Al-Qura UniversitySaudi Arabia,30043,8.3,10%,33 : 67
1489,1001+,Unisinos UniversityBrazil,12040,19.9,1%,52 : 48
1490,1001+,Ural Federal UniversityRussian Federation,26807,12.9,13%,48 : 52
1491,1001+,Urmia UniversityIran,14834,30.5,0%,50 : 50
1492,1001+,Utsunomiya UniversityJapan,4847,13.4,4%,37 : 63
1493,1001+,University of ValladolidSpain,22420,11.9,7%,53 : 47
1494,1001+,University of ValparaísoChile,16682,18.8,4%,58 : 42
1495,1001+,"University of Veterinary and Animal Sciences, LahorePakistan",6578,31.3,0%,48 : 52
1496,1001+,Vietnam National University (Ho Chi Minh City)Vietnam,61531,21.1,1%,44 : 56
1497,1001+,"Visvesvaraya National Institute of Technology, NagpurIndia",4303,17.2,3%,25 : 75
1498,1001+,V.N. Karazin Kharkiv National UniversityUkraine,17113,8.8,27%,55 : 45
1499,1001+,Voronezh State UniversityRussian Federation,16823,12.0,16%,55 : 45
1500,1001+,VSB - Technical University of OstravaCzech RepublicExplore,11845,13.9,13%,35 : 65
1501,1001+,Vytautas Magnus UniversityLithuania,8269,14.6,15%,68 : 32
1502,1001+,Warsaw University of Life Sciences – SGGWPoland,16838,13.2,5%,59 : 41
1503,1001+,Warsaw University of TechnologyPoland,24376,10.9,6%,35 : 65
1504,1001+,Wenzhou Medical UniversityChina,16757,11.8,5%,62 : 38
1505,1001+,University of West BohemiaCzech Republic,11730,15.9,4%,54 : 46
1506,1001+,Western Michigan UniversityUnited States,19273,21.8,7%,52 : 48
1507,1001+,West University of TimişoaraRomania,14027,19.5,5%,64 : 36
1508,1001+,Wrocław University of Environmental and Life SciencesPoland,8540,12.2,6%,68 : 32
1509,1001+,Wrocław University of Science and TechnologyPoland,26064,30.9,4%,34 : 66
1510,1001+,University of WrocławPoland,22175,13.9,6%,69 : 31
1511,1001+,Xiangtan UniversityChinaExplore,31743,21.3,2%,53 : 47
1512,1001+,Yamagata UniversityJapan,8905,8.6,2%,35 : 65
1513,1001+,Yamaguchi UniversityJapan,10693,10.9,6%,37 : 63
1514,1001+,University of YamanashiJapan,4692,6.4,4%,32 : 68
1515,1001+,Yanshan UniversityChina,35554,16.4,1%,39 : 61
1516,1001+,Yarmouk UniversityJordan,33270,28.8,9%,62 : 38
1517,1001+,Yazd UniversityIran,14289,30.1,1%,58 : 42
1518,1001+,Yeditepe UniversityTurkey,19415,35.2,2%,55 : 45
1519,1001+,Yıldız Technical UniversityTurkeyExplore,34336,36.8,5%,40 : 60
1520,1001+,Yokohama National UniversityJapan,9859,12.4,7%,29 : 71
1521,1001+,Yuan Ze UniversityTaiwan,8188,19.7,7%,42 : 58
1522,1001+,Yuriy Fedkovych Chernivtsi National UniversityUkraine,12616,10.7,0%,57 : 43
1523,1001+,Zagazig UniversityEgypt,156270,24.4,2%,54 : 46
1524,1001+,University of ZagrebCroatia,59336,15.3,3%,59 : 41
1525,1001+,University of ŽilinaSlovakia,7136,11.7,2%,34 : 66
