,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
383,351–400,National Research Nuclear University MEPhIRussian Federation,6804,9.7,21%,30 : 70
384,351–400,University of Nebraska-LincolnUnited States,22728,16.6,12%,48 : 52
385,351–400,Norwegian University of Science and TechnologyNorway,34803,16.2,9%,49 : 51
386,351–400,University of PerugiaItaly,23401,34.4,5%,56 : 44
387,351–400,Rensselaer Polytechnic InstituteUnited States,7459,15.4,19%,32 : 68
388,351–400,Rush UniversityUnited States,2426,1.4,1%,74 : 26
389,351–400,Sabancı UniversityTurkeyExplore,3632,22.0,10%,38 : 62
390,351–400,University of SalernoItaly,23171,24.3,2%,58 : 42
391,351–400,University of SienaItaly,12143,13.8,7%,59 : 41
392,351–400,University of StirlingUnited KingdomExplore,9183,16.0,22%,62 : 38
393,351–400,University of TasmaniaAustralia,11920,15.0,26%,57 : 43
394,351–400,Temple UniversityUnited States,34450,9.1,9%,52 : 48
395,351–400,University of TurkuFinland,12604,16.3,6%,62 : 38
396,351–400,United Arab Emirates UniversityUnited Arab EmiratesExplore,7494,9.2,24%,81 : 19
397,351–400,University of VermontUnited States,11126,8.7,5%,56 : 44
398,351–400,Western Sydney UniversityAustralia,32461,33.2,14%,55 : 45
399,351–400,York UniversityCanadaExplore,46220,41.5,24%,57 : 43
400,401–500,The University of AlabamaUnited States,34539,22.3,5%,55 : 45
401,401–500,University of Alabama in HuntsvilleUnited States,5969,14.1,9%,44 : 56
402,401–500,American University of BeirutLebanon,8214,8.6,21%,51 : 49
403,401–500,Australian Catholic UniversityAustralia,23078,42.4,11%,73 : 27
404,401–500,Bangor UniversityUnited Kingdom,9277,18.9,24%,56 : 44
405,401–500,University of Bari Aldo MoroItaly,30273,20.6,1%,61 : 39
406,401–500,Bar-Ilan UniversityIsrael,16637,17.7,5%,59 : 41
407,401–500,University of BordeauxFranceExplore,54484,21.3,13%,58 : 42
408,401–500,Brunel University LondonUnited Kingdom,10979,16.0,38%,47 : 53
409,401–500,University of CalabriaItaly,29008,33.3,2%,60 : 40
410,401–500,University of CampinasBrazil,27936,14.5,4%,47 : 53
411,401–500,Catholic University of the Sacred HeartItaly,30690,22.2,9%,66 : 34
412,401–500,Centrale NantesFrance,1656,16.0,43%,25 : 75
413,401–500,CentraleSupélecFrance,4339,12.1,32%,22 : 78
414,401–500,Charles University in PragueCzech Republic,49236,12.9,17%,62 : 38
415,401–500,Claude Bernard University Lyon 1France,26034,12.3,13%,52 : 48
416,401–500,"Colorado State University, Fort CollinsUnited States",25374,16.5,6%,53 : 47
417,401–500,Complutense University of MadridSpain,64466,20.1,14%,61 : 39
418,401–500,University of DesarrolloChileExplore,15925,18.0,2%,55 : 45
419,401–500,Diego Portales UniversityChile,16802,14.6,2%,49 : 51
420,401–500,Dublin City UniversityIreland,9748,27.3,14%,50 : 50
421,401–500,University of FerraraItaly,14464,24.4,7%,56 : 44
422,401–500,University of FlorenceItaly,35055,20.5,7%,55 : 45
423,401–500,Florida International UniversityUnited StatesExplore,33394,23.9,8%,56 : 44
424,401–500,Fujita Health UniversityJapanExplore,2810,3.1,0%,55 : 45
425,401–500,University of GenoaItaly,23547,18.9,9%,55 : 45
426,401–500,University of GeorgiaUnited States,34707,16.6,8%,57 : 43
427,401–500,Georgia State UniversityUnited States,33233,16.1,5%,59 : 41
428,401–500,Graz University of TechnologyAustria,6403,10.2,19%,23 : 77
429,401–500,University of GreifswaldGermany,10414,19.7,6%,56 : 44
430,401–500,Gwangju Institute of Science and Technology (GIST)South Korea,1964,11.6,6%,26 : 74
431,401–500,Hamburg University of TechnologyGermany,7452,50.7,18%,26 : 74
432,401–500,Harbin Institute of TechnologyChina,30116,9.9,10%,31 : 69
433,401–500,Hasselt UniversityBelgium,5256,32.4,12%,47 : 53
434,401–500,Hokkaido UniversityJapan,18114,7.9,10%,30 : 70
435,401–500,Hong Kong Baptist UniversityHong KongExplore,10872,10.5,31%,62 : 38
436,401–500,Indian Institute of Technology BombayIndia,10001,17.1,1%,18 : 82
437,401–500,Indian Institute of Technology RoorkeeIndia,7925,17.4,2%,10 : 90
438,401–500,JSS Academy of Higher Education and ResearchIndia,5421,8.6,8%,55 : 45
439,401–500,University of JyväskyläFinland,10338,15.9,5%,60 : 40
440,401–500,University of KaiserslauternGermany,14648,53.9,16%,38 : 62
441,401–500,University of KentuckyUnited States,27299,14.5,5%,55 : 45
442,401–500,Koç UniversityTurkey,5378,15.7,8%,52 : 48
443,401–500,University of KwaZulu-NatalSouth AfricaExplore,35451,28.4,5%,58 : 42
444,401–500,Kyushu UniversityJapan,18647,8.3,12%,28 : 72
445,401–500,Leibniz University HannoverGermany,26318,44.4,12%,40 : 60
446,401–500,University of LilleFrance,66710,28.2,12%,56 : 44
447,401–500,Loughborough UniversityUnited Kingdom,14225,14.7,24%,39 : 61
448,401–500,University of ManitobaCanada,29260,28.4,16%,54 : 46
449,401–500,Marche Polytechnic UniversityItaly,10850,20.9,4%,48 : 52
450,401–500,Middlesex UniversityUnited Kingdom,15135,18.0,46%,60 : 40
451,401–500,University of Milan-BicoccaItaly,26508,30.4,6%,62 : 38
452,401–500,University of MontanaUnited States,8957,16.1,3%,56 : 44
453,401–500,Murdoch UniversityAustraliaExplore,15723,30.9,43%,59 : 41
454,401–500,National Taiwan University of Science and Technology (Taiwan Tech)TaiwanExplore,8087,18.9,13%,30 : 70
455,401–500,National Tsing Hua UniversityTaiwan,16037,15.6,8%,41 : 59
456,401–500,University of Nebraska Medical CenterUnited States,2806,2.3,8%,67 : 33
457,401–500,New Mexico Institute of Mining and TechnologyUnited States,1791,6.3,9%,28 : 72
458,401–500,Northern Arizona UniversityUnited States,27449,26.6,5%,59 : 41
459,401–500,Northumbria UniversityUnited Kingdom,22084,17.9,16%,54 : 46
460,401–500,University of OklahomaUnited States,27352,10.3,7%,52 : 48
461,401–500,Örebro UniversitySweden,9437,19.4,2%,61 : 39
462,401–500,University of PaviaItaly,24032,39.2,7%,56 : 44
463,401–500,University of PlymouthUnited Kingdom,17901,17.5,15%,54 : 46
464,401–500,Polytechnic University of BariItaly,6107,23.6,1%,32 : 68
465,401–500,Polytechnic University of TurinItaly,31008,30.4,14%,29 : 71
466,401–500,University of PortoPortugal,31855,18.9,12%,55 : 45
467,401–500,University of PortsmouthUnited Kingdom,19305,15.5,26%,45 : 55
468,401–500,Qatar UniversityQatar,14395,17.5,43%,75 : 25
469,401–500,RMIT UniversityAustralia,32151,20.2,27%,47 : 53
470,401–500,University of Rome II – Tor VergataItaly,34899,19.2,7%,52 : 48
471,401–500,University of Rome IIIItaly,32615,52.7,4%,58 : 42
472,401–500,Rovira i Virgili UniversitySpain,12709,12.7,10%,59 : 41
473,401–500,Royal Veterinary CollegeUnited Kingdom,1966,10.3,17%,77 : 23
474,401–500,University of St GallenSwitzerland,7495,11.7,35%,35 : 65
475,401–500,University of SaskatchewanCanada,16884,16.7,19%,56 : 44
476,401–500,Sciences PoFrance,11584,44.0,34%,59 : 41
477,401–500,Semmelweis UniversityHungaryExplore,10809,9.6,32%,67 : 33
478,401–500,University of SiegenGermany,19586,43.3,11%,49 : 51
479,401–500,SOAS University of LondonUnited KingdomExplore,4965,11.7,54%,65 : 35
480,401–500,University of South Carolina-ColumbiaUnited States,31547,16.2,6%,55 : 45
481,401–500,University of StrasbourgFrance,45482,18.5,20%,58 : 42
482,401–500,University of StrathclydeUnited Kingdom,17727,19.4,27%,50 : 50
483,401–500,SUNY University at AlbanyUnited States,15954,16.2,10%,52 : 48
484,401–500,Swinburne University of TechnologyAustralia,12862,25.3,26%,38 : 62
485,401–500,Tampere University of TechnologyFinland,5439,21.4,10%,23 : 77
486,401–500,Teikyo UniversityJapan,23711,18.1,2%,34 : 66
487,401–500,Tokyo Medical and Dental University (TMDU)Japan,2986,3.2,8%,50 : 50
488,401–500,Tokyo Metropolitan UniversityJapanExplore,9185,13.4,4%,36 : 64
489,401–500,Tongji UniversityChinaExplore,36511,13.5,10%,40 : 60
490,401–500,University of TriesteItaly,16084,22.9,9%,56 : 44
491,401–500,University of TsukubaJapan,16717,13.3,20%,39 : 61
492,401–500,The University of TulsaUnited States,4563,11.9,23%,43 : 57
493,401–500,University of TurinItaly,52495,27.9,8%,61 : 39
494,401–500,UiT The Arctic University of NorwayNorway,16266,13.4,10%,58 : 42
495,401–500,University of Urbino Carlo BoItaly,14386,40.3,6%,61 : 39
496,401–500,University of ValenciaSpain,50927,16.7,11%,62 : 38
497,401–500,Verona UniversityItaly,19030,26.1,5%,65 : 35
498,401–500,Victoria University of WellingtonNew ZealandExplore,17391,19.1,21%,56 : 44
499,401–500,University of WaikatoNew Zealand,9805,17.1,18%,58 : 42
500,401–500,University of the West of ScotlandUnited Kingdom,11161,20.7,18%,58 : 42
501,401–500,University of Wisconsin-MilwaukeeUnited States,21251,19.1,6%,53 : 47
502,501–600,Amirkabir University of TechnologyIran,11918,21.7,2%,35 : 65
503,501–600,University of AveiroPortugalExplore,9842,16.5,11%,51 : 49
504,501–600,University of the Balearic IslandsSpain,11507,12.7,6%,59 : 41
505,501–600,Beihang UniversityChina,29520,14.4,6%,
506,501–600,University of BergamoItaly,17349,56.7,6%,62 : 38
507,501–600,Bilkent UniversityTurkey,10659,15.0,7%,46 : 54
508,501–600,Boğaziçi UniversityTurkey,12374,25.4,7%,49 : 51
509,501–600,Bond UniversityAustralia,3273,10.7,41%,53 : 47
510,501–600,Université Bourgogne Franche-Comté (UBFC)France,58837,33.6,11%,54 : 46
511,501–600,Bournemouth UniversityUnited Kingdom,12777,16.5,19%,57 : 43
512,501–600,University of BresciaItaly,14296,26.2,7%,46 : 54
513,501–600,Carleton UniversityCanada,26856,30.3,20%,48 : 52
514,501–600,University of CataniaItaly,26267,20.6,1%,57 : 43
515,501–600,Central Queensland UniversityAustraliaExplore,13770,26.4,28%,56 : 44
516,501–600,Charles Darwin UniversityAustralia,6537,25.7,34%,64 : 36
517,501–600,Chemnitz University of TechnologyGermany,10831,47.3,22%,42 : 58
518,501–600,"China Medical University, TaiwanTaiwan",7730,17.0,10%,54 : 46
519,501–600,Chung-Ang UniversitySouth Korea,13815,18.9,18%,
520,501–600,University of CoimbraPortugal,21236,17.4,17%,56 : 44
521,501–600,Creighton UniversityUnited States,8281,11.5,10%,62 : 38
522,501–600,East China Normal UniversityChinaExplore,25237,11.5,17%,66 : 34
523,501–600,Edith Cowan UniversityAustraliaExplore,17100,36.0,26%,60 : 40
524,501–600,University of GrazAustria,20586,22.2,14%,64 : 36
525,501–600,University of GuelphCanada,21644,27.8,5%,59 : 41
526,501–600,Hacettepe UniversityTurkey,42827,19.9,4%,57 : 43
527,501–600,University of HullUnited Kingdom,13433,16.9,18%,53 : 47
528,501–600,Hunan UniversityChina,42692,22.5,2%,45 : 55
529,501–600,University of IdahoUnited States,9675,17.2,8%,48 : 52
530,501–600,Indian Institute of Technology DelhiIndia,8130,14.9,1%,16 : 84
531,501–600,Indian Institute of Technology KanpurIndia,6609,15.2,1%,14 : 86
532,501–600,Indian Institute of Technology KharagpurIndia,9397,13.9,0%,14 : 86
533,501–600,ITMO UniversityRussian Federation,10268,9.3,15%,38 : 62
534,501–600,Johannes Kepler University of LinzAustria,6345,11.1,11%,52 : 48
535,501–600,University of KashanIran,7844,25.7,4%,55 : 45
536,501–600,Keele UniversityUnited Kingdom,8505,14.7,21%,57 : 43
537,501–600,Kent State UniversityUnited States,24469,19.3,10%,59 : 41
538,501–600,King Saud UniversitySaudi Arabia,38917,11.0,10%,51 : 49
539,501–600,King Saud bin Abdulaziz University for Health SciencesSaudi Arabia,8122,4.4,1%,47 : 53
540,501–600,University of La LagunaSpain,18736,13.1,4%,58 : 42
541,501–600,Lappeenranta-Lahti University of Technology LUTFinlandExplore,3670,24.6,20%,31 : 69
542,501–600,Lehigh UniversityUnited States,6443,11.2,17%,44 : 56
543,501–600,University of LimerickIrelandExplore,13969,21.4,17%,48 : 52
544,501–600,Lincoln UniversityNew Zealand,2426,13.2,38%,49 : 51
545,501–600,University of LisbonPortugal,50170,18.7,11%,50 : 50
546,501–600,Liverpool John Moores UniversityUnited Kingdom,18752,17.5,13%,54 : 46
547,501–600,Louisiana State UniversityUnited States,29533,20.5,6%,52 : 48
548,501–600,Makerere UniversityUganda,38596,29.2,8%,52 : 48
549,501–600,"University of Maryland, Baltimore CountyUnited States",11647,18.6,8%,45 : 55
550,501–600,Massey UniversityNew Zealand,18944,15.7,30%,62 : 38
551,501–600,Memorial University of NewfoundlandCanadaExplore,15154,13.8,16%,57 : 43
552,501–600,Missouri University of Science and TechnologyUnited States,8135,22.7,15%,23 : 77
553,501–600,Montana State UniversityUnited States,14192,18.8,4%,46 : 54
554,501–600,Nanjing University of Information Science and TechnologyChina,19265,14.6,3%,
555,501–600,National and Kapodistrian University of AthensGreece,54364,27.5,11%,62 : 38
556,501–600,National Cheng Kung University (NCKU)TaiwanExplore,20511,13.7,12%,36 : 64
557,501–600,National Chiao Tung UniversityTaiwan,12053,16.8,12%,28 : 72
558,501–600,National Yang-Ming UniversityTaiwan,4255,5.1,2%,48 : 52
559,501–600,University of NeuchâtelSwitzerland,4352,9.0,22%,59 : 41
560,501–600,New Jersey Institute of TechnologyUnited States,12044,19.8,19%,24 : 76
561,501–600,Norwegian University of Life SciencesNorway,5700,6.9,23%,60 : 40
562,501–600,NOVA University of LisbonPortugal,19885,18.6,17%,50 : 50
563,501–600,Novosibirsk State UniversityRussian Federation,7250,6.4,19%,57 : 43
564,501–600,Oklahoma State UniversityUnited States,21638,15.6,7%,49 : 51
565,501–600,The Open UniversityUnited Kingdom,64638,34.0,8%,61 : 39
566,501–600,Oxford Brookes UniversityUnited Kingdom,14006,16.7,28%,59 : 41
567,501–600,University of PalermoItaly,28801,19.5,1%,58 : 42
568,501–600,Panthéon-Sorbonne University – Paris 1France,40917,33.7,20%,60 : 40
569,501–600,University of ParmaItaly,24346,26.3,6%,56 : 44
570,501–600,Universidad Peruana Cayetano HerediaPeru,5885,12.1,0%,60 : 40
571,501–600,University of the PhilippinesPhilippines,45410,9.7,1%,53 : 47
572,501–600,Universitat Politècnica de CatalunyaSpain,21591,9.1,14%,28 : 72
573,501–600,Pontifical Javeriana UniversityColombia,29643,16.4,1%,56 : 44
574,501–600,Renmin University of ChinaChina,25168,11.8,6%,
575,501–600,Saint Louis UniversityUnited States,11220,7.3,7%,59 : 41
576,501–600,Saint Petersburg State UniversityRussian Federation,21644,7.3,11%,64 : 36
577,501–600,University of SalentoItaly,11927,28.4,1%,63 : 37
578,501–600,San Diego State UniversityUnited States,29974,30.3,8%,55 : 45
579,501–600,Savitribai Phule Pune UniversityIndia,6186,15.3,2%,46 : 54
580,501–600,Sejong UniversitySouth Korea,11886,16.4,9%,47 : 53
581,501–600,Shandong UniversityChina,46351,13.7,6%,
582,501–600,"Soochow University, ChinaChinaExplore",42684,15.2,7%,58 : 42
583,501–600,South China University of TechnologyChina,42472,14.5,5%,36 : 64
584,501–600,Southeast UniversityChina,33063,11.8,5%,40 : 60
585,501–600,Southern Cross UniversityAustralia,8678,24.5,21%,64 : 36
586,501–600,Stevens Institute of TechnologyUnited States,5636,16.2,35%,29 : 71
587,501–600,SUNY Binghamton UniversityUnited States,17582,23.0,15%,48 : 52
588,501–600,Taipei Medical UniversityTaiwanExplore,5895,10.5,9%,57 : 43
589,501–600,The University of Texas at San AntonioUnited States,26089,25.1,5%,50 : 50
590,501–600,Tianjin UniversityChinaExplore,33429,12.9,5%,
591,501–600,University of ToledoUnited States,18238,15.2,11%,50 : 50
592,501–600,Tomsk Polytechnic UniversityRussian Federation,9682,8.7,26%,33 : 67
593,501–600,Tomsk State UniversityRussian Federation,7673,9.6,29%,
594,501–600,Universiti Tunku Abdul Rahman (UTAR)Malaysia,19179,17.2,2%,52 : 48
595,501–600,University of UdineItaly,11472,17.1,6%,53 : 47
596,501–600,University of UlsanSouth Korea,13523,12.3,4%,46 : 54
597,501–600,The University of the West IndiesJamaicaExplore,43295,12.5,4%,68 : 32
598,501–600,Worcester Polytechnic InstituteUnited States,5517,12.6,22%,33 : 67
599,501–600,Xiamen UniversityChina,40507,14.9,5%,49 : 51
600,501–600,Xi’an Jiaotong UniversityChina,33973,10.8,5%,34 : 66
601,601–800,University of the AegeanGreece,12352,38.7,1%,57 : 43
602,601–800,The University of AizuJapan,1165,10.5,5%,11 : 89
603,601–800,University of AlcaláSpain,17711,12.8,22%,55 : 45
604,601–800,University of AlgarvePortugal,7501,12.4,13%,57 : 43
605,601–800,American University in CairoEgypt,5997,13.7,4%,54 : 46
606,601–800,Amrita Vishwa VidyapeethamIndia,14395,11.9,13%,
607,601–800,"University of the Andes, ColombiaColombia",15921,8.7,2%,45 : 55
608,601–800,Aristotle University of ThessalonikiGreece,46597,26.3,5%,58 : 42
609,601–800,University of ArkansasUnited States,24545,20.3,6%,52 : 48
610,601–800,Athens University of Economics and BusinessGreece,9839,46.9,4%,47 : 53
611,601–800,Auburn UniversityUnited States,24274,18.2,6%,50 : 50
612,601–800,Banaras Hindu UniversityIndia,12220,9.3,3%,27 : 73
613,601–800,University of the Basque CountrySpain,42581,14.6,4%,53 : 47
614,601–800,Baylor UniversityUnited States,16932,16.6,5%,57 : 43
615,601–800,Beijing Institute of TechnologyChina,28910,11.8,8%,35 : 65
616,601–800,University of Beira InteriorPortugal,6909,15.6,10%,52 : 48
617,601–800,Ben-Gurion University of the NegevIsrael,15133,18.9,3%,53 : 47
618,601–800,Benha UniversityEgypt,89763,29.0,5%,42 : 58
619,601–800,Beni-Suef UniversityEgypt,66543,26.1,1%,44 : 56
620,601–800,University of BradfordUnited Kingdom,9239,16.9,28%,56 : 44
621,601–800,University of BrightonUnited Kingdom,16906,17.5,22%,58 : 42
622,601–800,Ca’ Foscari University of VeniceItaly,16090,34.3,9%,65 : 35
623,601–800,University of CagliariItaly,27885,24.0,2%,59 : 41
624,601–800,Carlos III University of MadridSpainExplore,16917,11.0,15%,43 : 57
625,601–800,Catholic University of PortugalPortugal,10904,10.7,16%,60 : 40
626,601–800,University of Central FloridaUnited States,54697,36.2,3%,56 : 44
627,601–800,Central South UniversityChinaExplore,53069,17.3,2%,41 : 59
628,601–800,Chang Gung UniversityTaiwan,7527,12.3,4%,44 : 56
629,601–800,Chiba UniversityJapan,13898,10.0,5%,37 : 63
630,601–800,University of ChileChile,39345,17.1,6%,47 : 53
631,601–800,China Agricultural UniversityChina,19056,11.5,1%,58 : 42
632,601–800,"China University of Geosciences, BeijingChina",18114,17.4,1%,32 : 68
633,601–800,University of Clermont AuvergneFrance,34572,18.3,13%,57 : 43
634,601–800,COMSATS University IslamabadPakistan,31413,10.9,1%,25 : 75
635,601–800,Concordia UniversityCanada,32065,30.6,28%,50 : 50
636,601–800,University of Costa RicaCosta Rica,32276,14.3,2%,50 : 50
637,601–800,Covenant UniversityNigeriaExplore,9369,18.1,0%,37 : 63
638,601–800,Coventry UniversityUnited KingdomExplore,25118,14.4,45%,48 : 52
639,601–800,Dalian University of TechnologyChina,39075,16.2,2%,35 : 65
640,601–800,University of DaytonUnited States,10116,13.9,13%,52 : 48
641,601–800,University of DelhiIndia,22854,23.8,1%,47 : 53
642,601–800,De Montfort UniversityUnited Kingdom,17131,19.2,25%,57 : 43
643,601–800,University of DeustoSpain,8665,21.3,11%,59 : 41
644,601–800,East China University of Science and TechnologyChina,21602,11.9,1%,40 : 60
645,601–800,Eastern Mediterranean UniversityNorthern CyprusExplore,19694,30.6,84%,37 : 63
646,601–800,École Centrale de LyonFrance,1938,15.6,29%,26 : 74
647,601–800,École normale supérieure Paris-SaclayFrance,1830,11.7,15%,30 : 70
648,601–800,Edinburgh Napier UniversityUnited Kingdom,11156,20.0,32%,56 : 44
649,601–800,Embry-Riddle Aeronautical UniversityUnited States,16010,17.3,10%,17 : 83
650,601–800,Eötvös Loránd UniversityHungaryExplore,27267,19.4,10%,65 : 35
651,601–800,Ewha Womans UniversitySouth Korea,14893,14.3,14%,100 : 0
652,601–800,Federal University of Minas GeraisBrazil,44108,13.3,2%,53 : 47
653,601–800,Federal University of Rio de JaneiroBrazil,55109,14.0,2%,54 : 46
654,601–800,Universidade Federal do Rio Grande do SulBrazil,47931,17.1,2%,50 : 50
655,601–800,Universidade Federal de São Paulo (UNIFESP)Brazil,13520,8.6,1%,60 : 40
656,601–800,Federico Santa María Technical UniversityChileExplore,19273,27.9,3%,24 : 76
657,601–800,Fordham UniversityUnited States,12646,12.5,15%,59 : 41
658,601–800,Fuzhou UniversityChina,34664,16.6,1%,42 : 58
659,601–800,Glasgow Caledonian UniversityUnited Kingdom,12986,20.1,18%,59 : 41
660,601–800,University of GranadaSpain,52989,14.9,10%,57 : 43
661,601–800,University of GreenwichUnited Kingdom,14579,17.9,35%,57 : 43
662,601–800,University of HaifaIsrael,17848,30.6,2%,66 : 34
663,601–800,University of HertfordshireUnited Kingdom,17555,17.6,28%,54 : 46
664,601–800,Hiroshima UniversityJapan,14875,8.6,7%,37 : 63
665,601–800,Huazhong Agricultural UniversityChina,26178,17.9,2%,53 : 47
666,601–800,University of HuddersfieldUnited Kingdom,15055,21.5,26%,55 : 45
667,601–800,University of IbadanNigeria,25416,15.6,1%,46 : 54
668,601–800,Ilmenau University of TechnologyGermany,6253,8.0,20%,27 : 73
669,601–800,"Indian Institute of Science Education and Research, PuneIndia",1130,8.5,0%,33 : 67
670,601–800,Indian Institute of Technology BhubaneswarIndia,1016,9.4,0%,15 : 85
671,601–800,Indian Institute of Technology GuwahatiIndia,5592,13.2,1%,17 : 83
672,601–800,Indian Institute of Technology HyderabadIndia,1969,11.7,0%,20 : 80
673,601–800,Indian Institute of Technology MadrasIndia,9013,15.8,1%,20 : 80
674,601–800,University of IndonesiaIndonesiaExplore,41144,10.1,8%,60 : 40
675,601–800,University of IoanninaGreece,22492,44.3,3%,56 : 44
676,601–800,Iran University of Science and TechnologyIran,14208,33.5,0%,31 : 69
677,601–800,ISCTE-University Institute of LisbonPortugal,8866,25.2,13%,49 : 51
678,601–800,Isfahan University of TechnologyIran,9816,20.7,1%,43 : 57
679,601–800,Istanbul Technical UniversityTurkey,34594,22.8,4%,34 : 66
680,601–800,Jadavpur UniversityIndia,11515,17.5,1%,32 : 68
681,601–800,Jagiellonian UniversityPoland,42131,11.5,7%,67 : 33
682,601–800,Jaume I UniversitySpain,12581,16.5,9%,58 : 42
683,601–800,University of JohannesburgSouth AfricaExplore,25515,24.0,9%,55 : 45
684,601–800,Juntendo UniversityJapan,4407,3.8,2%,52 : 48
685,601–800,Kafrelsheikh UniversityEgypt,66990,40.7,1%,51 : 49
686,601–800,Kansas State UniversityUnited States,21970,14.6,9%,50 : 50
687,601–800,Kazan Federal UniversityRussian Federation,26021,10.8,11%,68 : 32
688,601–800,Universiti Kebangsaan MalaysiaMalaysia,18904,11.1,14%,60 : 40
689,601–800,Keio UniversityJapan,34740,10.6,7%,35 : 65
690,601–800,Kindai UniversityJapan,32322,13.5,2%,30 : 70
691,601–800,King Fahd University of Petroleum and MineralsSaudi Arabia,6427,6.3,18%,0 : 100
692,601–800,Kingston UniversityUnited Kingdom,16545,20.3,36%,56 : 44
693,601–800,Kobe UniversityJapan,15786,7.7,7%,35 : 65
694,601–800,Konkuk UniversitySouth Korea,14173,26.7,14%,59 : 41
695,601–800,University of Las Palmas de Gran CanariaSpain,18532,16.4,7%,56 : 44
696,601–800,Lebanese American UniversityLebanon,7734,13.6,19%,51 : 49
697,601–800,University of LeobenAustria,3103,6.1,16%,23 : 77
698,601–800,University of LincolnUnited Kingdom,11477,15.8,14%,55 : 45
699,601–800,University of LjubljanaSlovenia,40834,15.2,5%,60 : 40
700,601–800,University of LorraineFrance,57103,19.0,15%,52 : 48
701,601–800,Louisiana Tech UniversityUnited States,11138,27.4,4%,45 : 55
702,601–800,Mahidol UniversityThailandExplore,28611,10.2,4%,64 : 36
703,601–800,Manchester Metropolitan UniversityUnited Kingdom,27732,15.4,16%,58 : 42
704,601–800,Mansoura UniversityEgypt,136359,25.0,3%,54 : 46
705,601–800,Marquette UniversityUnited States,10494,12.3,5%,53 : 47
706,601–800,Masaryk UniversityCzech Republic,33243,21.5,21%,62 : 38
707,601–800,Mashhad University of Medical SciencesIran,9015,10.6,2%,61 : 39
708,601–800,Middle East Technical UniversityTurkey,27294,32.2,6%,44 : 56
709,601–800,Miguel Hernández University of ElcheSpain,13667,20.8,4%,50 : 50
710,601–800,University of MinhoPortugal,18299,18.4,10%,54 : 46
711,601–800,Mississippi State UniversityUnited States,23609,18.6,3%,51 : 49
712,601–800,Monterrey Institute of TechnologyMexicoExplore,14215,16.1,11%,41 : 59
713,601–800,Nanjing Agricultural UniversityChina,26198,15.9,2%,55 : 45
714,601–800,Nanjing Medical UniversityChina,13707,9.1,5%,
715,601–800,Nanjing Normal UniversityChina,26894,13.2,3%,70 : 30
716,601–800,Nanjing Tech UniversityChinaExplore,31846,14.2,1%,
717,601–800,Nantes UniversitéFrance,36520,24.5,10%,56 : 44
718,601–800,National Autonomous University of MexicoMexico,162018,13.6,6%,51 : 49
719,601–800,National Institute of Applied Sciences of Lyon (INSA Lyon)France,6125,8.8,29%,32 : 68
720,601–800,National Institute of Technology RourkelaIndia,6010,20.0,4%,19 : 81
721,601–800,National University of Science and Technology (MISiS)Russian Federation,7334,10.4,24%,38 : 62
722,601–800,National Sun Yat-Sen UniversityTaiwan,9522,14.9,5%,39 : 61
723,601–800,National Taiwan Normal UniversityTaiwanExplore,10621,12.6,26%,56 : 44
724,601–800,"University of Nevada, Las VegasUnited States",25120,26.1,5%,56 : 44
725,601–800,New Mexico State University (Main campus)United States,13329,17.3,8%,53 : 47
726,601–800,Nippon Medical SchoolJapan,837,6.3,1%,33 : 67
727,601–800,University of North Carolina at GreensboroUnited States,18593,24.9,3%,66 : 34
728,601–800,Northeast Normal UniversityChina,25325,16.2,2%,72 : 28
729,601–800,Northwestern Polytechnical UniversityChinaExplore,27423,13.6,3%,26 : 74
730,601–800,Nottingham Trent UniversityUnited Kingdom,23462,15.9,19%,57 : 43
731,601–800,Old Dominion UniversityUnited States,19064,19.3,3%,54 : 46
732,601–800,Open University of CataloniaSpain,20133,54.6,3%,55 : 45
733,601–800,Otto von Guericke University of MagdeburgGermany,14427,12.1,16%,43 : 57
734,601–800,University of OviedoSpain,18689,10.8,3%,52 : 48
735,601–800,Palacký University OlomoucCzech Republic,17968,11.5,12%,69 : 31
736,601–800,Panjab UniversityIndia,18360,21.5,1%,47 : 53
737,601–800,University of PécsHungaryExplore,17456,13.3,18%,58 : 42
738,601–800,Peter the Great St Petersburg Polytechnic UniversityRussian Federation,18420,8.8,24%,40 : 60
739,601–800,Polytechnic Institute of PortoPortugal,18215,17.0,6%,46 : 54
740,601–800,Polytechnic University of ValenciaSpain,21945,9.4,13%,38 : 62
741,601–800,Pontificia Universidad Católica de ChileChile,27485,15.2,7%,
742,601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,15415,18.7,6%,52 : 48
743,601–800,Portland State UniversityUnited States,20666,18.4,9%,54 : 46
744,601–800,University of PretoriaSouth AfricaExplore,35687,23.2,8%,56 : 44
745,601–800,Pusan National UniversitySouth KoreaExplore,24409,18.4,11%,47 : 53
746,601–800,Université du QuébecCanada,54198,20.2,10%,57 : 43
747,601–800,University of ReginaCanada,12585,22.5,15%,60 : 40
748,601–800,University of Rennes 1France,27685,17.4,11%,53 : 47
749,601–800,Rikkyo UniversityJapan,20542,24.7,3%,52 : 48
750,601–800,Rochester Institute of TechnologyUnited States,14200,16.2,18%,34 : 66
751,601–800,Roskilde UniversityDenmark,6109,16.1,10%,63 : 37
752,601–800,RUDN UniversityRussian Federation,19350,10.8,25%,58 : 42
