,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
383,351–400,University of PaviaItaly,23632,37.2,7%,56 : 44
384,351–400,University of PisaItaly,50810,28.9,4%,52 : 48
385,351–400,Royal Veterinary CollegeUnited Kingdom,1856,10.1,18%,75 : 25
386,351–400,Sabancı UniversityTurkeyExplore,3247,20.0,9%,41 : 59
387,351–400,University of SalernoItaly,37230,51.4,1%,60 : 40
388,351–400,University of South Carolina-ColumbiaUnited States,30869,18.2,5%,55 : 45
389,351–400,Stellenbosch UniversitySouth AfricaExplore,23207,26.1,8%,54 : 46
390,351–400,University of StrasbourgFrance,41399,16.5,19%,58 : 42
391,351–400,Sun Yat-sen UniversityChinaExplore,51089,16.3,9%,51 : 49
392,351–400,Temple UniversityUnited States,33958,11.5,8%,52 : 48
393,351–400,University of TriesteItaly,17054,24.8,8%,56 : 44
394,351–400,Tulane UniversityUnited States,11193,11.0,11%,56 : 44
395,351–400,University of TurkuFinland,12263,15.7,5%,62 : 38
396,351–400,University College CorkIreland,15890,21.8,17%,56 : 44
397,351–400,University of VermontUnited States,10992,8.9,3%,56 : 44
398,351–400,Université de Versailles Saint-Quentin-en-YvelinesFrance,17323,22.4,14%,59 : 41
399,351–400,University of WaikatoNew Zealand,10019,17.0,27%,56 : 44
400,351–400,Wayne State UniversityUnited States,22215,10.8,9%,56 : 44
401,351–400,York UniversityCanadaExplore,46146,40.8,23%,58 : 42
402,401–500,Auckland University of TechnologyNew ZealandExplore,17861,15.8,42%,59 : 41
403,401–500,University of Bari Aldo MoroItaly,47856,60.5,2%,63 : 37
404,401–500,Bar-Ilan UniversityIsrael,16412,17.5,5%,61 : 39
405,401–500,University of BergamoItaly,16769,55.5,6%,63 : 37
406,401–500,Bilkent UniversityTurkey,10007,14.4,5%,45 : 55
407,401–500,Boğaziçi UniversityTurkey,11967,26.8,8%,49 : 51
408,401–500,University of BresciaItaly,14542,26.4,7%,46 : 54
409,401–500,University of CalabriaItaly,28313,35.1,3%,58 : 42
410,401–500,University of CampinasBrazil,26811,14.3,4%,47 : 53
411,401–500,CentraleSupélecFrance,4226,11.6,33%,22 : 78
412,401–500,Charles University in PragueCzech Republic,50495,13.1,16%,61 : 39
413,401–500,Chung-Ang UniversitySouth Korea,11381,16.1,28%,48 : 52
414,401–500,Claude Bernard University Lyon 1France,27067,13.0,12%,54 : 46
415,401–500,University of CyprusCyprusExplore,6989,23.1,9%,68 : 32
416,401–500,Dublin City UniversityIreland,9180,25.5,17%,52 : 48
417,401–500,University of FlorenceItaly,53112,15.7,7%,60 : 40
418,401–500,Florida International UniversityUnited StatesExplore,32838,24.4,8%,56 : 44
419,401–500,University of GenoaItaly,35711,27.1,9%,56 : 44
420,401–500,University of GrazAustria,21053,22.9,13%,64 : 36
421,401–500,Graz University of TechnologyAustria,6395,10.2,17%,23 : 77
422,401–500,University of GreifswaldGermany,10857,20.8,6%,56 : 44
423,401–500,Hamburg University of TechnologyGermany,7391,55.1,19%,26 : 74
424,401–500,Hasselt UniversityBelgium,5045,19.0,12%,47 : 53
425,401–500,Hofstra UniversityUnited States,10001,13.9,10%,56 : 44
426,401–500,Hokkaido UniversityJapan,18038,8.0,9%,30 : 70
427,401–500,Hong Kong Baptist UniversityHong KongExplore,11467,11.4,30%,61 : 39
428,401–500,Huazhong University of Science and TechnologyChinaExplore,56140,16.7,5%,35 : 65
429,401–500,University of HullUnited Kingdom,13482,16.6,19%,53 : 47
430,401–500,Jordan University of Science and TechnologyJordan,23103,12.6,20%,57 : 43
431,401–500,University of JyväskyläFinland,10020,15.8,5%,61 : 39
432,401–500,University of KaiserslauternGermany,14493,52.5,16%,37 : 63
433,401–500,Kazan Federal UniversityRussian Federation,25916,10.8,9%,67 : 33
434,401–500,University of KwaZulu-NatalSouth AfricaExplore,32023,25.3,5%,59 : 41
435,401–500,Kyung Hee UniversitySouth KoreaExplore,23512,17.2,18%,44 : 56
436,401–500,University of LilleFrance,67978,28.1,12%,56 : 44
437,401–500,Louisiana State UniversityUnited States,29533,20.5,6%,52 : 48
438,401–500,Makerere UniversityUganda,36688,28.8,8%,52 : 48
439,401–500,University of ManitobaCanada,29017,28.0,15%,54 : 46
440,401–500,Marche Polytechnic UniversityItaly,16931,24.0,4%,45 : 55
441,401–500,"University of Maryland, Baltimore CountyUnited States",11781,18.8,8%,46 : 54
442,401–500,Massey UniversityNew Zealand,18688,15.7,29%,62 : 38
443,401–500,Maynooth UniversityIreland,8361,30.6,12%,55 : 45
444,401–500,Middlesex UniversityUnited Kingdom,14756,18.0,46%,60 : 40
445,401–500,University of Milan-BicoccaItaly,34245,48.4,7%,61 : 39
446,401–500,Mizzou - University of MissouriUnited States,30535,11.5,6%,53 : 47
447,401–500,University of Modena and Reggio EmiliaItaly,20737,27.8,6%,53 : 47
448,401–500,University of MontanaUnited States,9573,16.6,3%,56 : 44
449,401–500,Murdoch UniversityAustraliaExplore,15526,30.7,48%,58 : 42
450,401–500,University of Naples Federico IIItaly,81056,55.9,0%,56 : 44
451,401–500,National Chiao Tung UniversityTaiwan,12639,17.7,7%,28 : 72
452,401–500,National Research Nuclear University MEPhIRussian Federation,7064,7.6,15%,31 : 69
453,401–500,National Taiwan University of Science and Technology (Taiwan Tech)TaiwanExplore,7981,18.7,13%,32 : 68
454,401–500,University of Nebraska Medical CenterUnited States,2856,2.4,9%,67 : 33
455,401–500,University of NeuchâtelSwitzerland,4216,8.8,23%,60 : 40
456,401–500,Northern Arizona UniversityUnited States,27227,26.8,5%,58 : 42
457,401–500,Norwegian University of Life SciencesNorway,5723,7.1,22%,58 : 42
458,401–500,Novosibirsk State UniversityRussian Federation,7242,6.5,18%,51 : 49
459,401–500,University of OklahomaUnited States,27333,10.6,7%,51 : 49
460,401–500,The Open UniversityUnited Kingdom,67357,33.0,8%,61 : 39
461,401–500,Oxford Brookes UniversityUnited Kingdom,13256,17.9,28%,58 : 42
462,401–500,University of ParmaItaly,24307,27.6,6%,56 : 44
463,401–500,University of PlymouthUnited Kingdom,18336,18.0,15%,52 : 48
464,401–500,Universitat Politècnica de CatalunyaSpain,21581,9.8,12%,27 : 73
465,401–500,Polytechnic University of TurinItaly,30903,29.7,14%,28 : 72
466,401–500,Qatar UniversityQatar,13342,17.6,42%,73 : 27
467,401–500,Quaid-i-Azam UniversityPakistan,13559,26.6,0%,57 : 43
468,401–500,Reykjavík UniversityIceland,3206,29.4,6%,59 : 41
469,401–500,RMIT UniversityAustralia,31465,17.2,25%,47 : 53
470,401–500,University of Rome II – Tor VergataItaly,32325,17.9,6%,51 : 49
471,401–500,University of Rome IIIItaly,34492,56.2,4%,59 : 41
472,401–500,Roskilde UniversityDenmark,6034,14.5,9%,62 : 38
473,401–500,Rovira i Virgili UniversitySpain,12604,12.6,10%,59 : 41
474,401–500,University of St GallenSwitzerland,7456,13.1,35%,33 : 67
475,401–500,Saint Louis UniversityUnited States,10976,6.8,7%,59 : 41
476,401–500,Saint Petersburg State UniversityRussian Federation,21433,5.8,10%,65 : 35
477,401–500,San Diego State UniversityUnited States,29136,30.7,7%,56 : 44
478,401–500,University of SaskatchewanCanada,16712,16.3,17%,56 : 44
479,401–500,Sciences PoFrance,9679,38.1,45%,59 : 41
480,401–500,Semmelweis UniversityHungaryExplore,10880,10.7,31%,68 : 32
481,401–500,University of SiegenGermany,19339,49.2,11%,49 : 51
482,401–500,University of SienaItaly,17928,14.0,6%,59 : 41
483,401–500,SOAS University of LondonUnited KingdomExplore,4854,11.5,56%,64 : 36
484,401–500,Southern Cross UniversityAustralia,8298,32.4,18%,65 : 35
485,401–500,University of StrathclydeUnited Kingdom,17496,21.5,27%,49 : 51
486,401–500,SUNY Binghamton UniversityUnited States,17238,23.7,15%,48 : 52
487,401–500,Swinburne University of TechnologyAustralia,13269,24.7,25%,39 : 61
488,401–500,The University of Texas at San AntonioUnited States,25945,25.8,6%,49 : 51
489,401–500,Tokyo Medical and Dental University (TMDU)Japan,2906,3.2,7%,50 : 50
490,401–500,Tongji UniversityChinaExplore,35810,12.9,11%,39 : 61
491,401–500,University of TsukubaJapan,16514,13.0,19%,39 : 61
492,401–500,The University of TulsaUnited States,4671,12.4,25%,43 : 57
493,401–500,University of TurinItaly,59116,31.4,7%,
494,401–500,UiT The Arctic University of NorwayNorway,12601,12.1,12%,61 : 39
495,401–500,University of Urbino Carlo BoItaly,11658,28.6,9%,59 : 41
496,401–500,Verona UniversityItaly,24582,20.6,6%,64 : 36
497,401–500,Victoria University of WellingtonNew ZealandExplore,17086,19.8,20%,56 : 44
498,401–500,Western Sydney UniversityAustralia,32744,34.0,13%,55 : 45
499,401–500,University of Wisconsin-MilwaukeeUnited States,21928,18.7,6%,52 : 48
500,401–500,Wuhan UniversityChinaExplore,50178,14.3,7%,
501,401–500,Xiamen UniversityChina,41430,15.0,4%,49 : 51
502,501–600,Alfaisal UniversitySaudi ArabiaExplore,1891,14.5,34%,56 : 44
503,501–600,American University of BeirutLebanon,8045,8.6,22%,51 : 49
504,501–600,Aristotle University of ThessalonikiGreece,45709,24.7,4%,57 : 43
505,501–600,University of ArkansasUnited States,24140,20.4,6%,52 : 48
506,501–600,Athens University of Economics and BusinessGreece,9674,42.2,7%,46 : 54
507,501–600,Australian Catholic UniversityAustralia,21846,30.7,9%,73 : 27
508,501–600,University of AveiroPortugalExplore,10105,17.1,10%,52 : 48
509,501–600,Blaise Pascal UniversityFrance,15538,15.2,13%,55 : 45
510,501–600,Bond UniversityAustralia,3215,13.9,39%,52 : 48
511,501–600,Université Bourgogne Franche-Comté (UBFC)France,56702,28.9,11%,53 : 47
512,501–600,Ca’ Foscari University of VeniceItaly,19353,40.7,8%,64 : 36
513,501–600,Carleton UniversityCanada,25973,30.1,20%,47 : 53
514,501–600,University of CataniaItaly,35168,22.8,1%,59 : 41
515,501–600,Catholic University of the Sacred HeartItaly,32844,11.4,8%,
516,501–600,Central China Normal UniversityChina,36706,23.1,7%,65 : 35
517,501–600,Central Queensland UniversityAustraliaExplore,13048,27.8,29%,56 : 44
518,501–600,"China Medical University, TaiwanTaiwan",7752,17.1,10%,53 : 47
519,501–600,University of CoimbraPortugal,21928,17.0,16%,57 : 43
520,501–600,Complutense University of MadridSpain,62392,20.1,13%,62 : 38
521,501–600,Concordia UniversityCanada,32331,31.1,28%,50 : 50
522,501–600,Creighton UniversityUnited States,8213,11.3,9%,58 : 42
523,501–600,Diego Portales UniversityChile,16348,14.4,2%,48 : 52
524,501–600,East China Normal UniversityChinaExplore,27189,12.6,13%,62 : 38
525,501–600,Edith Cowan UniversityAustraliaExplore,16315,35.5,23%,61 : 39
526,501–600,Ewha Womans UniversitySouth Korea,15044,14.4,11%,100 : 0
527,501–600,Universidade Federal de São Paulo (UNIFESP)Brazil,14475,9.3,1%,55 : 45
528,501–600,Federico Santa María Technical UniversityChileExplore,19265,30.3,2%,23 : 77
529,501–600,University of FerraraItaly,13902,8.3,7%,56 : 44
530,501–600,Fujita Health UniversityJapanExplore,2810,3.1,0%,55 : 45
531,501–600,University of GranadaSpain,59539,17.6,14%,58 : 42
532,501–600,Harbin Institute of TechnologyChina,29395,10.0,9%,31 : 69
533,501–600,University of HertfordshireUnited Kingdom,17330,17.3,28%,54 : 46
534,501–600,Indian Institute of Technology DelhiIndia,7284,13.3,1%,20 : 80
535,501–600,Indian Institute of Technology KanpurIndia,6472,15.2,1%,14 : 86
536,501–600,Indian Institute of Technology KharagpurIndia,11016,18.0,0%,16 : 84
537,501–600,Indian Institute of Technology RoorkeeIndia,8240,14.1,1%,16 : 84
538,501–600,University of IoanninaGreece,21672,41.6,4%,57 : 43
539,501–600,ITMO UniversityRussian Federation,10582,9.5,13%,37 : 63
540,501–600,Johannes Kepler University of LinzAustria,6449,11.0,10%,52 : 48
541,501–600,Keele UniversityUnited Kingdom,7986,13.9,23%,57 : 43
542,501–600,Kent State UniversityUnited States,23647,18.6,9%,59 : 41
543,501–600,King Fahd University of Petroleum and MineralsSaudi Arabia,6471,6.1,20%,0 : 100
544,501–600,King Saud UniversitySaudi Arabia,34489,9.3,10%,
545,501–600,Konkuk UniversitySouth Korea,15229,28.0,12%,55 : 45
546,501–600,Lappeenranta-Lahti University of Technology LUTFinlandExplore,3622,23.4,19%,30 : 70
547,501–600,Lehigh UniversityUnited States,6476,11.4,16%,45 : 55
548,501–600,University of LimerickIrelandExplore,13302,20.3,18%,48 : 52
549,501–600,Lincoln UniversityNew Zealand,2455,4.3,34%,48 : 52
550,501–600,University of LisbonPortugal,49682,18.6,10%,50 : 50
551,501–600,Liverpool John Moores UniversityUnited Kingdom,18268,18.2,13%,54 : 46
552,501–600,University of LorraineFrance,55606,18.4,15%,52 : 48
553,501–600,Mahidol UniversityThailandExplore,28996,10.5,3%,63 : 37
554,501–600,Masaryk UniversityCzech Republic,34756,22.4,20%,62 : 38
555,501–600,Memorial University of NewfoundlandCanadaExplore,15116,12.9,15%,57 : 43
556,501–600,Missouri University of Science and TechnologyUnited States,8146,23.7,17%,23 : 77
557,501–600,Montana State UniversityUnited States,14023,18.8,4%,46 : 54
558,501–600,Nantes UniversitéFrance,37231,24.7,10%,56 : 44
559,501–600,National and Kapodistrian University of AthensGreece,60850,32.9,9%,60 : 40
560,501–600,National Cheng Kung University (NCKU)TaiwanExplore,21337,14.4,11%,36 : 64
561,501–600,National Taiwan Normal UniversityTaiwanExplore,10718,12.9,26%,56 : 44
562,501–600,New Jersey Institute of TechnologyUnited States,11423,21.1,18%,24 : 76
563,501–600,Northumbria UniversityUnited Kingdom,22176,17.8,16%,54 : 46
564,501–600,NOVA University of LisbonPortugal,19495,19.1,14%,49 : 51
565,501–600,Oklahoma State UniversityUnited States,21677,22.1,6%,49 : 51
566,501–600,University of PalermoItaly,43249,27.8,1%,59 : 41
567,501–600,Panthéon-Sorbonne University – Paris 1France,40270,33.4,21%,60 : 40
568,501–600,Polytechnic University of ValenciaSpain,23471,10.0,11%,37 : 63
569,501–600,Pontificia Universidad Católica de ChileChile,27065,15.4,7%,
570,501–600,Pontifical Javeriana UniversityColombia,28108,17.0,1%,56 : 44
571,501–600,University of PortoPortugal,31743,18.8,11%,54 : 46
572,501–600,University of PortsmouthUnited Kingdom,19096,15.6,27%,45 : 55
573,501–600,Université du QuébecCanada,54033,20.1,10%,57 : 43
574,501–600,Renmin University of ChinaChina,25183,12.0,6%,
575,501–600,University of SalentoItaly,19025,37.8,1%,63 : 37
576,501–600,University of SassariItaly,12194,19.6,1%,64 : 36
577,501–600,Sejong UniversitySouth Korea,11884,16.3,6%,46 : 54
578,501–600,Shandong UniversityChina,45900,14.8,5%,
579,501–600,Université de SherbrookeCanada,14373,12.3,8%,57 : 43
580,501–600,"Soochow University, ChinaChinaExplore",45109,16.0,5%,54 : 46
581,501–600,South China University of TechnologyChina,42076,16.3,2%,35 : 65
582,501–600,University of South DakotaUnited States,15624,31.8,3%,61 : 39
583,501–600,Southeast UniversityChina,32464,11.7,5%,
584,501–600,University of SplitCroatia,20817,30.7,1%,
585,501–600,Stevens Institute of TechnologyUnited States,5636,16.2,35%,29 : 71
586,501–600,University of the Sunshine CoastAustraliaExplore,8202,28.3,16%,64 : 36
587,501–600,Tampere University of TechnologyFinland,5490,19.6,8%,23 : 77
588,501–600,University of Texas at ArlingtonUnited States,26325,25.3,14%,56 : 44
589,501–600,Texas Tech UniversityUnited States,32486,22.2,9%,46 : 54
590,501–600,Tianjin UniversityChinaExplore,30513,12.0,1%,
591,501–600,Tokyo Metropolitan UniversityJapanExplore,9263,10.0,4%,36 : 64
592,501–600,University of ToledoUnited States,18525,15.9,10%,50 : 50
593,501–600,Tomsk State UniversityRussian Federation,8022,8.3,22%,
594,501–600,Universiti Tunku Abdul Rahman (UTAR)Malaysia,18642,16.9,1%,52 : 48
595,501–600,University of UlsanSouth Korea,13689,12.6,3%,45 : 55
596,501–600,Ulster UniversityUnited Kingdom,18550,14.9,8%,55 : 45
597,501–600,United Arab Emirates UniversityUnited Arab EmiratesExplore,7492,9.2,26%,79 : 21
598,501–600,University of ValenciaSpain,48725,14.9,9%,60 : 40
599,501–600,University of WarsawPoland,50026,14.1,9%,66 : 34
600,501–600,University of the West of ScotlandUnited Kingdom,11160,20.0,13%,61 : 39
601,501–600,Xi’an Jiaotong UniversityChina,32199,10.7,4%,35 : 65
602,601–800,University of the AegeanGreece,12264,37.9,1%,59 : 41
603,601–800,AGH University of Science and TechnologyPoland,32930,14.9,2%,34 : 66
604,601–800,The University of AizuJapan,1228,11.5,3%,13 : 87
605,601–800,University of AlcaláSpain,18023,13.1,21%,55 : 45
606,601–800,University of AlgarvePortugal,7643,12.2,11%,57 : 43
607,601–800,Aligarh Muslim UniversityIndia,17732,14.6,2%,36 : 64
608,601–800,American University in CairoEgypt,6093,12.4,5%,54 : 46
609,601–800,American University of SharjahUnited Arab Emirates,5778,15.0,84%,49 : 51
610,601–800,Amirkabir University of TechnologyIran,12815,23.3,1%,34 : 66
611,601–800,"University of the Andes, ColombiaColombia",16664,15.3,2%,44 : 56
612,601–800,Atılım UniversityTurkeyExplore,7100,16.1,5%,43 : 57
613,601–800,Auburn UniversityUnited States,23186,18.2,5%,50 : 50
614,601–800,Babeş-Bolyai UniversityRomania,37961,24.3,2%,60 : 40
615,601–800,Banaras Hindu UniversityIndia,24399,18.8,2%,36 : 64
616,601–800,University of the Basque CountrySpain,44028,14.8,6%,52 : 48
617,601–800,Baylor UniversityUnited States,16736,17.0,5%,57 : 43
618,601–800,University of BedfordshireUnited Kingdom,11366,18.9,32%,59 : 41
619,601–800,Beihang UniversityChina,28884,14.4,6%,
620,601–800,Beijing Institute of TechnologyChina,28174,12.6,7%,34 : 66
621,601–800,University of Beira InteriorPortugal,6925,16.0,8%,52 : 48
622,601–800,Ben-Gurion University of the NegevIsrael,16568,20.4,3%,51 : 49
623,601–800,Beni-Suef UniversityEgypt,69962,32.5,1%,43 : 57
624,601–800,Bournemouth UniversityUnited Kingdom,12299,17.4,19%,56 : 44
625,601–800,University of BradfordUnited Kingdom,9636,17.0,30%,55 : 45
626,601–800,University of BrightonUnited Kingdom,16666,17.5,22%,57 : 43
627,601–800,University of CagliariItaly,29645,32.6,2%,60 : 40
628,601–800,Capital Medical UniversityChina,12488,6.9,4%,69 : 31
629,601–800,Carlos III University of MadridSpainExplore,16429,11.1,14%,43 : 57
630,601–800,University of Central LancashireUnited Kingdom,16500,15.5,18%,57 : 43
631,601–800,Central South UniversityChinaExplore,55707,17.1,1%,40 : 60
632,601–800,Chang Gung UniversityTaiwan,7540,12.5,2%,43 : 57
633,601–800,"University of Chemistry and Technology, PragueCzech Republic",4210,10.0,20%,62 : 38
634,601–800,Chiba UniversityJapan,14002,10.1,5%,37 : 63
635,601–800,University of ChileChile,38848,17.2,5%,47 : 53
636,601–800,China Agricultural UniversityChina,18725,11.3,2%,58 : 42
637,601–800,"China University of Geosciences, BeijingChina",17840,17.5,1%,33 : 67
638,601–800,"China University of Geosciences, WuhanChina",30585,20.3,3%,
639,601–800,Chonnam National UniversitySouth KoreaExplore,23984,13.8,3%,48 : 52
640,601–800,Chulalongkorn UniversityThailandExplore,38734,14.8,3%,59 : 41
641,601–800,Comenius University in BratislavaSlovakia,22857,11.1,11%,66 : 34
642,601–800,COMSATS University IslamabadPakistan,30126,10.4,0%,24 : 76
643,601–800,Coventry UniversityUnited KingdomExplore,22737,14.3,45%,48 : 52
644,601–800,Czech Technical University in PragueCzech Republic,21266,13.2,16%,30 : 70
645,601–800,Dalian University of TechnologyChina,38678,16.6,2%,35 : 65
646,601–800,University of DaytonUnited States,10502,15.2,15%,48 : 52
647,601–800,University of DelhiIndia,22107,23.1,1%,49 : 51
648,601–800,De Montfort UniversityUnited Kingdom,15880,18.8,25%,58 : 42
649,601–800,Dublin Institute of TechnologyIreland,14544,19.5,26%,41 : 59
650,601–800,East China University of Science and TechnologyChina,24207,17.4,6%,41 : 59
651,601–800,Eastern Mediterranean UniversityNorthern CyprusExplore,19069,32.5,84%,37 : 63
652,601–800,University of East LondonUnited Kingdom,11857,20.2,33%,61 : 39
653,601–800,École Centrale de LyonFrance,1871,15.2,22%,25 : 75
654,601–800,École normale supérieure Paris-SaclayFrance,1631,10.5,15%,30 : 70
655,601–800,Edinburgh Napier UniversityUnited Kingdom,10953,20.3,32%,56 : 44
656,601–800,Embry-Riddle Aeronautical UniversityUnited States,15514,15.3,11%,17 : 83
657,601–800,Eötvös Loránd UniversityHungaryExplore,23558,14.8,7%,63 : 37
658,601–800,Universidade Estadual Paulista (Unesp)Brazil,44059,13.3,3%,49 : 51
659,601–800,Universidade Federal do ABC (UFABC)Brazil,12467,20.3,1%,31 : 69
660,601–800,Federal University of ItajubáBrazil,7559,15.3,1%,29 : 71
661,601–800,Federal University of Minas GeraisBrazil,45138,14.5,2%,53 : 47
662,601–800,Federal University of Rio de JaneiroBrazil,54989,14.0,2%,54 : 46
663,601–800,Universidade Federal do Rio Grande do SulBrazil,39588,14.4,1%,47 : 53
664,601–800,Florida Atlantic UniversityUnited States,17330,15.8,10%,59 : 41
665,601–800,Florida Institute of TechnologyUnited States,5343,14.6,35%,33 : 67
666,601–800,Fuzhou UniversityChina,35901,17.7,1%,42 : 58
667,601–800,Gebze Technical UniversityTurkey,5781,23.1,2%,34 : 66
668,601–800,Glasgow Caledonian UniversityUnited Kingdom,13826,21.9,19%,59 : 41
669,601–800,University of GreenwichUnited Kingdom,14678,18.7,35%,55 : 45
670,601–800,Hacettepe UniversityTurkey,39181,18.3,5%,57 : 43
671,601–800,University of HaifaIsrael,17917,30.7,2%,66 : 34
672,601–800,Hiroshima UniversityJapan,14769,8.3,6%,36 : 64
673,601–800,Huazhong Agricultural UniversityChina,25619,17.6,1%,53 : 47
674,601–800,University of HuddersfieldUnited Kingdom,15154,22.5,26%,56 : 44
675,601–800,Hunan UniversityChina,42004,22.2,2%,45 : 55
676,601–800,Indian Institute of Technology GuwahatiIndia,5419,13.4,1%,15 : 85
677,601–800,Indian Institute of Technology (Indian School of Mines) DhanbadIndia,6692,24.6,1%,15 : 85
678,601–800,Indian Institute of Technology MadrasIndia,9033,14.9,0%,19 : 81
679,601–800,Inha UniversitySouth Korea,19921,23.8,3%,38 : 62
680,601–800,Iran University of Science and TechnologyIran,13206,31.7,0%,30 : 70
681,601–800,ISCTE-University Institute of LisbonPortugal,8699,22.8,12%,50 : 50
682,601–800,Isfahan University of TechnologyIran,9323,19.8,1%,42 : 58
683,601–800,Istanbul Technical UniversityTurkey,36061,16.9,4%,34 : 66
684,601–800,Jadavpur UniversityIndia,11011,17.6,0%,31 : 69
685,601–800,University of JaénSpain,16894,20.5,8%,55 : 45
686,601–800,Jagiellonian UniversityPoland,42594,11.8,6%,67 : 33
687,601–800,Jeonbuk National UniversitySouth KoreaExplore,23728,20.7,3%,44 : 56
688,601–800,University of JohannesburgSouth AfricaExplore,28122,27.4,7%,55 : 45
689,601–800,Juntendo UniversityJapan,4246,3.7,1%,52 : 48
690,601–800,Kagawa UniversityJapan,6453,9.6,2%,41 : 59
691,601–800,Kanazawa UniversityJapan,10464,10.4,5%,36 : 64
692,601–800,Kansas State UniversityUnited States,22017,14.7,11%,50 : 50
693,601–800,Kaohsiung Medical UniversityTaiwan,6894,12.2,6%,56 : 44
694,601–800,Universiti Kebangsaan MalaysiaMalaysia,19353,11.8,12%,70 : 30
695,601–800,Keio UniversityJapan,34689,11.1,7%,34 : 66
696,601–800,King Mongkut’s University of Technology ThonburiThailand,16413,22.0,1%,46 : 54
697,601–800,Kingston UniversityUnited Kingdom,17342,21.5,36%,55 : 45
698,601–800,K.N. Toosi University of TechnologyIran,7079,23.0,0%,33 : 67
699,601–800,Kobe UniversityJapan,15751,7.8,7%,34 : 66
700,601–800,Kochi UniversityJapan,5584,8.4,1%,46 : 54
701,601–800,Kumamoto UniversityJapan,10214,7.8,6%,37 : 63
702,601–800,Kuwait UniversityKuwaitExplore,37752,24.0,13%,72 : 28
703,601–800,Kyungpook National UniversitySouth KoreaExplore,27162,18.2,4%,42 : 58
704,601–800,University of La LagunaSpain,20248,14.0,4%,57 : 43
705,601–800,Leeds Beckett UniversityUnited Kingdom,20122,20.8,14%,50 : 50
706,601–800,University of LincolnUnited Kingdom,10874,16.0,16%,56 : 44
707,601–800,University of LjubljanaSlovenia,42922,15.8,4%,60 : 40
708,601–800,Manchester Metropolitan UniversityUnited Kingdom,26686,15.3,15%,58 : 42
709,601–800,University of MariborSlovenia,13197,15.4,4%,54 : 46
710,601–800,Marquette UniversityUnited States,10664,12.4,5%,52 : 48
711,601–800,Middle East Technical UniversityTurkey,26739,26.3,7%,44 : 56
712,601–800,University of MinhoPortugal,18257,18.4,10%,54 : 46
713,601–800,Mississippi State UniversityUnited States,38420,28.6,4%,50 : 50
714,601–800,Monterrey Institute of TechnologyMexicoExplore,14003,17.2,13%,40 : 60
715,601–800,University of MurciaSpain,30623,15.3,6%,61 : 39
716,601–800,Nagoya City UniversityJapan,4317,8.0,3%,52 : 48
717,601–800,Nanjing Agricultural UniversityChina,26301,16.1,1%,56 : 44
718,601–800,Nanjing Medical UniversityChina,12783,9.1,5%,
719,601–800,Nanjing Normal UniversityChina,26714,14.6,3%,68 : 32
720,601–800,Nanjing Tech UniversityChinaExplore,30098,17.9,1%,
721,601–800,National Autonomous University of MexicoMexico,145024,12.1,6%,51 : 49
722,601–800,National Central UniversityTaiwan,10859,9.5,10%,34 : 66
723,601–800,National Chengchi UniversityTaiwan,15555,16.9,13%,59 : 41
724,601–800,National Institute of Applied Sciences of Lyon (INSA Lyon)France,6029,8.5,30%,32 : 68
725,601–800,National Institute of Technology RourkelaIndia,5746,19.1,4%,25 : 75
726,601–800,National University of Science and Technology (MISiS)Russian Federation,7236,9.2,24%,41 : 59
727,601–800,National University of Sciences and TechnologyPakistan,10373,8.0,3%,33 : 67
728,601–800,National Sun Yat-Sen UniversityTaiwan,9013,15.7,5%,37 : 63
729,601–800,National Yang-Ming UniversityTaiwan,4255,5.0,2%,48 : 52
730,601–800,New Mexico State University (Main campus)United States,13670,16.7,8%,53 : 47
731,601–800,University of North Carolina at GreensboroUnited States,17774,23.9,3%,66 : 34
732,601–800,Northeast Normal UniversityChina,24802,15.6,1%,64 : 36
733,601–800,University of Northern British Columbia (UNBC)Canada,2752,11.4,10%,60 : 40
734,601–800,Northwestern Polytechnical UniversityChinaExplore,26904,14.2,3%,26 : 74
735,601–800,Nottingham Trent UniversityUnited Kingdom,23045,16.9,18%,56 : 44
736,601–800,Okayama UniversityJapan,13115,7.9,4%,38 : 62
737,601–800,Old Dominion UniversityUnited States,19148,19.7,3%,54 : 46
738,601–800,Osaka City UniversityJapan,8386,9.1,4%,36 : 64
739,601–800,Otto von Guericke University of MagdeburgGermany,14248,12.2,14%,42 : 58
740,601–800,University of OviedoSpain,23806,13.4,2%,47 : 53
741,601–800,Palacký University OlomoucCzech Republic,18332,11.4,10%,69 : 31
742,601–800,Panjab UniversityIndia,17046,22.6,1%,46 : 54
743,601–800,University of PatrasGreece,24989,33.9,5%,49 : 51
744,601–800,University of PécsHungaryExplore,16396,12.6,17%,57 : 43
745,601–800,Peter the Great St Petersburg Polytechnic UniversityRussian Federation,16775,6.8,20%,43 : 57
746,601–800,University of the PhilippinesPhilippines,51086,11.2,1%,61 : 39
747,601–800,Pontifical Catholic University of PeruPeru,27013,17.0,3%,48 : 52
748,601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,15638,22.0,3%,51 : 49
749,601–800,Portland State UniversityUnited States,21207,15.9,9%,54 : 46
750,601–800,University of PretoriaSouth AfricaExplore,36005,24.1,8%,56 : 44
751,601–800,Pusan National UniversitySouth KoreaExplore,25464,19.7,11%,46 : 54
